GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_DMSO_noDrug	EV_DMSO_noDrug
pepN	Rv2467	aminopeptidase PepN	ctl_exponential:9%	0.2128	0.120534833416278	440.33	437	453	456	520	345	246.53	215.16
clpP2	Rv2460c	ATP-dependent CLP protease proteolytic subunit 2	human_sputum:9%	0.215	0.134920377707395	441.81	423	441	457	524	371	899.84	784.59
Rv0176	Rv0176	Mce associated transmembrane protein	high_iron:11%	0.2178	0.142975357720784	445.54	421	451	449	536	378	413.11	359.25
Rv3480c	Rv3480c	diacyglycerol O-acyltransferase	butyrate_plus_glucose:8%	0.2081	0.10501202426117	447.85	459	480	478	504	330	221.67	194.14
Rv2739c	Rv2739c	transferase	hypoxia_late:28%	0.2239	0.176711134117978	452.12	389	446	429	583	425	145.4	125.81
ilvA	Rv1559	threonine dehydratase IlvA	zinc_limitation:9%	0.2201	0.167859828118664	447.62	404	433	430	572	409	378.3	328.36
MT3145.1	MT3145.1	hypothetical protein	acidic_tyloxopol:11%	0.349	0.804890579880068	445.22	420	215	176	824	805	69.2	54.18
lppR	Rv2403c	lipoprotein LppR	hypoxia_late:9%	0.2082	0.133390693991239	447.29	448	436	476	491	389	137.81	120.6
Rv3163c	Rv3163c	hypothetical protein	hypoxia_late:15%	0.2707	0.550581759502139	442.59	477	334	343	594	492	41.24	34.38
rplL	Rv0652	50S ribosomal protein L7/L12	tyloxopol:12%; high_iron:11%	0.2233	0.18708539520117	457.88	406	465	427	561	438	329.57	285.19
ilvB1	Rv3003c	acetolactate synthase large subunit IlvB	hypoxia_rar:10%	0.2138	0.152973260082376	451.59	434	458	453	545	376	290.61	253.43
nuoN	Rv3158	NADH-quinone oxidoreductase subunit N	high_iron:13%; butyrate_plus_glucose:10%	0.2093	0.145129389713792	450.47	445	444	468	539	365	402.56	352.29
Rv0426c	Rv0426c	transmembrane protein	acidic:10%	0.2038	0.119615832872665	450.11	463	463	489	501	344	589.97	518.54
xerD	Rv1701	tyrosine recombinase XerD	hypoxia_late:11%	0.2076	0.135296427394704	452.69	458	467	473	513	360	229.97	201.45
Rv1188	Rv1188	proline dehydrogenase	hypoxia_late:31%	0.3023	0.685493771838048	452.9	460	331	280	692	563	28.85	23.49
fadD36	Rv1193	fatty-acid--CoA ligase FadD36	low_iron:11%	0.2245	0.2152365239635	472.15	381	462	425	649	464	203.47	175.91
apt	Rv2584c	adenine phosphoribosyltransferase	acidic:43%	0.2122	0.152974120564478	457.48	441	472	458	550	375	681.82	595.44
Rv2732c	Rv2732c	transmembrane protein	hypoxia_late:9%	0.2217	0.205379361290724	469.28	395	457	442	621	446	385.28	334.07
recB	Rv0630c	exonuclease V subunit beta RecB	hypoxia_late:43%	0.2033	0.124699536582608	455.67	456	461	513	485	370	41.37	36.23
ureG	Rv1852	urease accessory protein UreG	hypoxia_late:20%	0.2206	0.239945606505955	457.37	401	399	435	556	506	93.18	80.6
Rv2468c	Rv2468c	hypothetical protein	ctl_exponential:9%	0.2115	0.169160619997218	461.93	443	468	463	553	390	693.47	605.96
Rv2731	Rv2731	hypothetical protein	hypoxia_late:11%; hypoxia_fatty_acids:10%	0.2103	0.165259001790647	468.36	451	485	472	544	396	189.14	165.32
udgB	Rv1259	uracil DNA glycosylase	hypoxia_late:34%	0.2344	0.367970609118196	463.8	422	388	412	586	526	47.56	40.8
Rv3169	Rv3169	hypothetical protein	butyrate:25%; hypoxia_late:11%	0.2025	0.139188628999181	464.53	474	476	503	493	382	103.75	91.17
Rv2229c	Rv2229c	hypothetical protein	hypoxia_late:12%; ctl_exponential:10%	0.2053	0.14892465066324	472.13	450	490	504	523	399	183.31	160.91
hemD	Rv0511	uroporphyrin-III C-methyltransferase	high_iron:11%	0.2173	0.228808298830853	473.94	414	455	444	609	459	725.53	630.94
citA	Rv0889c	citrate synthase 2	hypoxia_late:9%	0.2013	0.145914999647448	472.26	478	498	507	542	349	327.04	287.88
narG	Rv1161	nitrate reductase subunit alpha	microaerophilic:14%; nutrient_limitation:12%; acidic:11%	0.2032	0.161766314265449	473.42	457	483	499	537	397	455.65	400.64
Rv1476	Rv1476	membrane protein	ctl_exponential:14%	0.2026	0.173304088829659	469.66	461	459	490	518	423	231.94	203.43
narI	Rv1164	nitrate reductase subunit gamma	acidic_tyloxopol:13%; microaerophilic:10%	0.2018	0.171042029206699	471.29	475	477	487	515	406	212.73	186.94
gap	Rv1436	glyceraldehyde 3-phosphate dehydrogenase	tyloxopol:12%	0.2137	0.234207177471662	483.58	432	484	461	596	453	958.74	836.38
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.3091	0.723862693626236	499.45	476	423	322	704	619	215.43	176.09
Rv3897c	Rv3897c	hypothetical protein	hypoxia_late:15%	0.2043	0.196136904786655	477.67	470	482	480	547	414	258.55	226.82
lipI	Rv1400c	lipase	hypoxia_late:12%	0.2034	0.173419239911612	480.17	481	509	491	525	400	159.71	140.29
esxN	Rv1793	ESAT-6 like protein EsxN	acidic:9%	0.2005	0.166058903471262	480.31	465	496	509	554	386	1741.56	1534.22
snoP	Rv2604c	glutamine amidotransferase SnoP	hypoxia_late:10%	0.1995	0.171327433162678	476.7	488	491	505	514	391	253.87	223.73
gpsI	Rv2783c	bifunctional guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase	high_iron:11%	0.2124	0.243084962644953	484.65	436	475	459	588	472	909.89	794.27
groEL2	Rv0440	molecular chaperone GroEL	acidic_tyloxopol:13%; hypoxia_fatty_acids:11%	0.2349	0.393212345021411	487.63	433	460	398	593	569	5547.09	4767.38
Rv0688	Rv0688	ferredoxin reductase	microaerophilic:13%	0.1967	0.150951326300076	481.89	479	513	520	521	384	148.72	131.24
ksgA	Rv1010	rRNA small subunit methyltransferase A	zinc_limitation:11%	0.2102	0.227940591185292	486.61	430	471	471	628	445	364.82	318.89
MT2514	MT2514	hypothetical protein	PBS_RIF_DDmtb:16%	0.2962	0.765804541335156	484.32	373	237	226	931	887	64.54	52.53
oxcA	Rv0118c	oxalyl-CoA decarboxylase OxcA	hypoxia_late:14%; butyrate:11%; low_iron:10%	0.2077	0.237010728816215	482.8	492	494	495	526	411	83.67	73.14
Rv3770B	Rv3770B	transposase	zinc_limitation:43%	0.2571	0.550512503703857	485.68	368	311	331	826	699	111.1	93.72
truB	Rv2793c	tRNA pseudouridine synthase B	hypoxia_late:10%	0.2081	0.217212755971455	487.92	454	492	482	590	429	229.22	200.69
Rv0394c	Rv0394c	hypothetical protein	human_sputum:11%	0.2072	0.236873537545003	484.63	471	478	494	531	451	114.49	100.36
PE_PGRS31	Rv1768	PE-PGRS family protein PE_PGRS31	hypoxia_late:21%	0.2102	0.231629169360581	490.99	442	488	469	626	441	205.21	179.28
mpr18	Rvnc0018	fragment of putative small regulatory RNA	hypoxia_late:19%; zinc_limitation:13%	0.3522	0.879136412516358	490	440	227	181	871	1003	38.92	30.39
PE_PGRS60	Rv3652	PE-PGRS family-related protein PE_PGRS60	hypoxia_late:23%	0.2435	0.498964864378125	497.72	377	353	380	781	671	83.29	71.01
Rv3657c	Rv3657c	membrane protein	hypoxia_late:50%	0.2629	0.611033386195327	493.3	366	296	338	818	769	25.48	21.3
Rv2197c	Rv2197c	transmembrane protein	high_iron:8%	0.1988	0.209662492095005	491.64	487	500	500	576	403	514.27	453.32
ureC	Rv1850	urease subunit alpha	hypoxia_late:14%	0.1992	0.204917191287988	494.02	466	501	516	552	439	82.79	72.77
pta	Rv0408	phosphate acetyltransferase	hypoxia_late:10%	0.1898	0.169199203697291	489.15	502	519	539	541	358	130.82	116
Rv2800	Rv2800	hydrolase	hypoxia_late:14%	0.2078	0.252211739946019	506.32	452	515	483	635	457	135.7	118.73
mapA	Rv0734	methionine aminopeptidase	butyrate_plus_glucose:10%; tyloxopol:10%	0.2074	0.26631777163915	503.95	453	495	477	644	462	585.19	512.54
Rv2762c	Rv2762c	hypothetical protein	hypoxia_late:22%	0.2122	0.35682885197632	499.93	462	440	451	624	534	137.94	120.28
Rv3575c	Rv3575c	LacI family transcriptional regulator	hypoxia_late:14%	0.2058	0.294182283654113	501.74	508	502	508	562	433	113.28	99.34
fadA	Rv0859	acyltransferase	cholesterol:13%	0.2025	0.244219769078609	509.37	473	527	496	615	444	499.67	439.25
Rv1812c	Rv1812c	dehydrogenase	microaerophilic:14%; PBS_RIF_DDmtb:12%; ctl_stationary:12%	0.1905	0.216714270427654	503.16	507	520	525	564	407	185.25	164.17
pimA	Rv2610c	alpha-(1-2)-phosphatidylinositol mannosyltransferase	zinc_limitation:8%	0.189	0.213758520804832	506.01	511	525	535	570	398	265.71	235.85
moxR2	Rv3692	methanol dehydrogenase transcriptional regulator MoxR	hypoxia_late:10%	0.1891	0.214846745693371	512.54	523	550	543	551	404	157.24	139.55
Rv2696c	Rv2696c	hypothetical protein	PBS_RIF_DDmtb:8%	0.1925	0.249028947877858	511.56	501	529	519	598	419	423.56	374.94
MT1602	MT1602	hypothetical protein	cholesterol:23%; hypoxia_late:14%; acidic_tyloxopol:14%	0.2782	0.784682014987581	523.91	400	318	309	900	843	39.33	32.57
rplD	Rv0702	50S ribosomal protein L4	butyrate_plus_glucose:10%	0.1983	0.276695416750291	513.09	483	508	512	605	463	2412.72	2128.33
ppnK	Rv1695	inorganic polyphosphate/ATP-NAD kinase	acidic:9%	0.1908	0.243762979476308	512.74	499	528	537	585	422	269.15	238.6
Rv2026c	Rv2026c	universal stress protein	hypoxia_late:20%; ctl_stationary:12%; acidic:12%	0.2404	0.636198203588132	507.52	498	377	404	700	593	41.88	35.71
Rv2047c	Rv2047c	hypothetical protein	hypoxia_late:15%	0.1833	0.199114046955804	511.49	526	535	568	560	381	103.54	92.19
mce1B	Rv0170	Mce family protein Mce1B	acidic:16%; acidic_tyloxopol:10%	0.1942	0.264469311508675	519.11	497	534	517	620	436	650.33	575.11
Rv3732	Rv3732	hypothetical protein	acidic_tyloxopol:10%	0.1904	0.244095374425565	514.67	493	521	550	559	454	122.01	108.04
fadE7	Rv0400c	acyl-CoA dehydrogenase FadE7	cholesterol:13%; hypoxia_late:12%	0.2004	0.283305715126974	522.28	480	532	506	631	470	180.09	158.35
priA	Rv1402	primosomal protein N'	hypoxia_late:31%	0.1911	0.255027293495848	520.07	514	560	530	575	428	75.74	67.02
menD	Rv0555	bifunctional 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	hypoxia_late:10%	0.2024	0.306068861584027	521.58	464	506	498	663	488	381.58	335.3
Rv0373c	Rv0373c	carbon monoxyde dehydrogenase large subunit	hypoxia_late:32%; ctl_stationary:13%	0.2399	0.669303557838499	507.28	544	408	421	654	529	24.97	21.22
Rv1920	Rv1920	membrane protein	acidic_tyloxopol:10%; acidic:10%	0.1949	0.330683005695994	518.88	486	481	522	591	518	87.06	76.79
adhD	Rv3086	alcohol dehydrogenase D	nutrient_limitation:15%	0.2148	0.435288422741364	524.86	519	518	470	645	481	214.71	186.96
glpD2	Rv3302c	glycerol-3-phosphate dehydrogenase	ctl_exponential:8%	0.1841	0.234540815238517	520.44	533	542	556	589	394	234.46	208.82
esxD	Rv3891c	ESAT-6 like protein EsxD	acidic:11%; hypoxia_rar:11%	0.1853	0.219132945039849	526.89	518	575	571	573	408	632.54	563.33
pks12	Rv2048c	polyketide synthase	hypoxia_late:11%	0.1879	0.268079553188397	522.26	513	538	538	580	447	200.72	178.28
ctpH	Rv0425c	metal cation transporting ATPase H	zinc_limitation:11%	0.2053	0.346493830448458	530.87	447	497	488	699	540	328.42	287.87
Rv1947	Rv1947	hypothetical protein	hypoxia_late:10%	0.2058	0.374354303500276	528.15	468	487	486	681	532	201.3	176.43
MTS2362	MTS2362	small intergenic RNA	human_sputum:18%	0.2168	0.495235742770925	522.32	444	401	455	726	620	114.58	99.59
Rv2306A	Rv2306A	conserved membrane protein	hypoxia_late:19%	0.2228	0.525134773889016	525.03	419	391	443	761	660	53.99	46.64
qcrA	Rv2195	ubiquinol-cytochrome C reductase rieske iron-sulfur subunit	microaerophilic:12%; INDIGO_exponential:12%	0.1907	0.285394370089293	524.92	503	541	528	602	456	1434.42	1272.09
Rv1684	Rv1684	hypothetical protein	human_sputum:8%	0.2218	0.453032665493729	539.04	409	473	445	763	645	194.22	167.96
mmpL10	Rv1183	transmembrane transport protein MmpL10	butyrate_plus_glucose:16%; acidic_tyloxopol:13%; acidic:11%	0.1935	0.284345906605399	533.18	484	552	531	638	469	223	197.26
Rv0500B	Rv0500B	conserved hypothetical protein	acidic:19%; ctl_exponential:15%	0.2014	0.356384212036036	530.23	509	523	511	652	465	2981.37	2623.62
ftsY	Rv2921c	signal recognition particle receptor FtsY	hypoxia_late:12%	0.1894	0.280058295910132	528.71	515	548	532	627	431	260.48	231.07
Rv1084	Rv1084	hypothetical protein	hypoxia_late:16%; microaerophilic:16%	0.2067	0.400995281847253	529.99	496	505	502	668	489	106.82	93.52
Rv3752c	Rv3752c	cytidine/deoxycytidylate deaminase	hypoxia_late:25%	0.2061	0.393482538273747	536.18	469	499	493	686	547	155.86	136.62
Rv2273	Rv2273	transmembrane protein	hypoxia_late:15%	0.2388	0.656032511935149	537.63	439	394	392	836	698	78.91	67.42
Rv1770	Rv1770	hypothetical protein	hypoxia_late:10%	0.1808	0.236466794754475	536.93	537	573	587	600	401	352.75	315.03
blaR	Rv1845c	sensor-transducer protein BlaR	hypoxia_fatty_acids:8%	0.2045	0.40179256309743	539.76	495	524	501	693	498	400.17	351.19
Rv0760c	Rv0760c	hypothetical protein	tyloxopol:10%	0.1888	0.282664783466379	540.78	527	585	544	613	443	496.45	440.81
pepB	Rv2213	cytosol aminopeptidase	tyloxopol:9%	0.1929	0.33642690950912	539.89	494	537	524	669	485	319.58	282.74
Rv2867c	Rv2867c	GCN5-like N-acetyltransferase	microaerophilic:9%	0.183	0.266116022604712	536.44	538	566	559	619	412	415.6	370.48
nuoC	Rv3147	NADH-quinone oxidoreductase subunit C	high_iron:15%; tyloxopol:14%; butyrate_plus_glucose:12%	0.19	0.302224631210509	540.71	505	554	547	623	480	274.59	243.17
Rv3813c	Rv3813c	hypothetical protein	hypoxia_late:11%	0.1839	0.289281933412812	535.02	543	557	552	578	450	163.51	145.59
Rv3364c	Rv3364c	hypothetical protein	hypoxia_late:14%	0.2068	0.432591327538758	544.35	482	522	481	684	565	152.05	133.18
mmsB	Rv0751c	3-hydroxyisobutyrate dehydrogenase	hypoxia_fatty_acids:19%; acidic_tyloxopol:11%	0.1934	0.338666129642398	544.46	512	562	527	636	491	129.23	114.28
pstC2	Rv0929	phosphate ABC transporter permease PstC	hypoxia_late:18%	0.201	0.41835647395225	537.46	539	530	523	601	497	88.57	77.89
Rv2980	Rv2980	hypothetical protein	hypoxia_late:32%	0.219	0.554024970375277	542.11	485	464	460	722	602	84.67	73.49
atpG	Rv1309	ATP synthase subunit gamma	ctl_exponential:12%; INDIGO_exponential:12%; tyloxopol:11%	0.1884	0.311890206793928	546.15	500	563	554	642	479	1300.11	1155.08
Rv1158c	Rv1158c	hypothetical protein	tyloxopol:14%; hypoxia_late:11%; hypoxia_hypoxic:11%; butyrate_plus_glucose:10%	0.2287	0.534911769380369	575.59	403	546	414	740	839	424.87	366.04
Rv3015c	Rv3015c	hypothetical protein	hypoxia_late:29%	0.1929	0.391740826683981	548.04	516	540	534	618	535	68.22	60.32
Rv2417c	Rv2417c	DegV domain-containing protein	hypoxia_late:16%	0.1999	0.43702018374889	547.01	534	526	514	676	494	238.75	210.2
esxB	Rv3874	ESAT-6-like protein EsxB	human_sputum:12%	0.1861	0.351758024123766	549.75	510	545	563	603	530	14299.51	12727.6
PE_PGRS40	Rv2371	PE-PGRS family protein PE_PGRS40	hypoxia_late:24%; PBS_RIF_DDmtb:10%	0.2509	0.793306809117129	553.02	412	300	350	980	897	62.95	53.14
esxO	Rv2346c	ESAT-6 like protein EsxO	acidic:10%	0.1825	0.296258487230031	550.75	530	577	572	643	442	2092.94	1867.13
Rv3256c	Rv3256c	hypothetical protein	hypoxia_late:13%	0.1826	0.300906994258101	552.15	549	593	566	622	440	240.96	214.79
tgs4	Rv3088	diacyglycerol O-acyltransferase	hypoxia_late:13%; nutrient_limitation:10%	0.2027	0.455296911043721	556.73	531	556	515	664	524	88.59	77.68
Rv0272c	Rv0272c	hypothetical protein	microaerophilic:10%	0.1795	0.281529947106203	553.66	548	595	601	584	448	123.63	110.42
Rv1571	Rv1571	hypothetical protein	hypoxia_late:32%	0.2151	0.576167064475926	555.09	489	466	466	767	616	101.03	87.83
hisF	Rv1605	imidazole glycerol phosphate synthase subunit HisF	microaerophilic:42%	0.1906	0.383677766196297	561.17	506	558	540	691	520	275.79	244.24
MT0177	MT0177	hypothetical protein	butyrate_plus_glucose:12%; acidic:11%	0.1868	0.347881074605755	561.37	528	596	553	665	474	486.85	432.76
cya	Rv1625c	adenylyl cyclase	microaerophilic:9%	0.1764	0.254641544415777	554.34	571	594	610	597	413	197.54	176.92
lpqW	Rv1166	monoacyl phosphatidylinositol tetramannoside-binding protein LpqW	PBS_RIF_DDmtb:15%	0.1781	0.277926046838601	558.5	576	609	589	604	426	135.49	121.11
accA1	Rv2501c	acetyl-/propionyl-CoA carboxylase subunit alpha	microaerophilic:40%; low_iron:10%	0.1784	0.294541247743035	555.21	550	581	590	614	449	120.37	107.47
Rv2616	Rv2616	hypothetical protein	low_iron:21%	0.18	0.333550505093313	557.57	555	568	597	581	490	213.77	191.06
mpt70	Rv2875	major secreted immunogenic protein Mpt70	PBS_RIF_DDmtb:79%	0.2352	0.759885913713011	558.65	532	415	434	793	663	57.14	49
Rv3840	Rv3840	transcriptional regulator	low_iron:53%	0.2572	0.833115121204854	568.15	467	368	378	952	789	44.18	37.17
Rv0123	Rv0123	hypothetical protein	hypoxia_late:13%	0.2381	0.723951774027771	570.7	472	454	396	881	720	79.22	67.58
Rv2850c	Rv2850c	magnesium chelatase	microaerophilic:16%; hypoxia_late:12%	0.1852	0.376176073149067	564.07	520	570	557	690	493	235.92	209.85
Rv0976c	Rv0976c	hypothetical protein	microaerophilic:58%; hypoxia_late:14%	0.1931	0.463897121532408	563.62	491	504	549	687	598	32.4	28.54
MT3754	MT3754	hypothetical protein	hypoxia_late:14%	0.2304	0.717412752278637	568.38	435	384	402	936	790	88.73	76.22
cysH	Rv2392	phosphoadenosine phosphosulfate reductase	microaerophilic:12%	0.1813	0.347229011535917	567.07	542	598	573	666	466	817.45	729.63
PE20	Rv1806	PE family protein PE20	hypoxia_hypoxic:30%; acidic:14%; hypoxia_rar:10%	0.2994	0.938071160218698	572.96	490	317	272	1039	962	23.46	18.9
echA21	Rv3774	enoyl-CoA hydratase EchA21	tyloxopol:12%	0.1774	0.314090175609359	563.12	568	580	586	659	435	830.78	743.66
eccC2	Rv3894c	ESX-2 type VII secretion system protein EccC	hypoxia_late:11%	0.1752	0.274564290579032	565.86	559	606	623	640	417	107.58	96.38
Rv1700	Rv1700	NUDIX hydrolase	acidic:9%	0.1777	0.328261388033995	563.78	572	579	591	630	455	307.29	274.89
Rv2303c	Rv2303c	antibiotic-resistance protein	acidic:11%	0.1799	0.345055265996571	570.21	563	605	580	637	473	189.68	169.36
Rv3579c	Rv3579c	tRNA/rRNA methyltransferase	microaerophilic:14%; PBS_RIF_DDmtb:13%	0.1845	0.386688822439384	571.33	524	576	560	705	502	328.05	291.97
Rv0939	Rv0939	bifunctional 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase/cyclase/dehydrase	microaerophilic:21%	0.1776	0.308497700750056	566.58	565	592	600	651	437	229.87	205.66
fadD11	Rv1550	fatty-acid--CoA ligase FadD11	hypoxia_late:23%	0.2138	0.725934455657707	552.3	631	456	484	662	543	52.45	45.52
galE1	Rv3634c	UDP-glucose 4-epimerase	acidic_tyloxopol:13%; acidic:13%	0.1796	0.33743118702184	572.04	558	616	579	656	461	288.84	257.99
embA	Rv3794	arabinosyltransferase A	hypoxia_late:11%; high_iron:11%; tyloxopol:10%	0.1889	0.42710444447207	578.7	504	565	546	748	545	256.04	227.04
fadD5	Rv0166	fatty-acid--CoA ligase FadD5	acidic:12%; acidic_tyloxopol:12%; butyrate:11%; butyrate_plus_glucose:10%	0.1837	0.388594295072821	579.3	535	600	565	701	505	387.85	345.43
cobQ2	Rv3713	cobyric acid synthase CobQ	hypoxia_late:12%	0.1764	0.342941493089126	568.46	562	564	604	616	500	173.02	154.84
bioF1	Rv1569	8-amino-7-oxononanoate synthase	hypoxia_late:24%	0.1949	0.495353804290791	585.28	536	578	536	752	538	221.99	196.1
Rv2414c	Rv2414c	hypothetical protein	hypoxia_late:18%	0.1761	0.330176673788887	582.72	553	623	635	633	478	96.56	86.45
Rv0911	Rv0911	hypothetical protein	hypoxia_late:8%	0.1808	0.414927649626108	576.19	529	551	581	670	555	138.84	123.58
PE12	Rv1172c	PE family protein PE12	acidic_tyloxopol:10%; PBS_RIF_DDmtb:10%	0.1808	0.397499316583277	587.32	554	624	574	682	510	240.36	214.43
Rv2554c	Rv2554c	Holliday junction resolvase	microaerophilic:37%	0.1824	0.42735086701231	591.82	541	608	570	723	527	434.3	387.13
Rv1457c	Rv1457c	antibiotic ABC transporter permease	hypoxia_late:11%	0.1795	0.426552896992849	584.55	575	589	578	653	531	116.51	104.02
MTS1338	MTS1338	small intergenic RNA	cholesterol:30%; nutrient_limitation:25%; hypoxia_fatty_acids:14%	0.1787	0.399342251428273	589.58	552	607	613	660	521	557.44	498.71
mscR	Rv2259	S-nitrosomycothiol reductase MscR	high_iron:8%	0.1737	0.361544529316572	585.58	584	603	621	671	460	326.86	293.29
echA16	Rv2831	enoyl-CoA hydratase EchA16	hypoxia_late:20%; PBS_RIF_DDmtb:10%	0.2127	0.694266982841077	597.14	596	569	485	778	576	143.16	124.81
Rv1514c	Rv1514c	glycosyltransferase	hypoxia_late:16%	0.1958	0.614280842622337	584.22	595	533	533	711	558	104.53	92.16
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	0.1853	0.484719920412905	600.9	517	590	558	784	572	1326.98	1180.08
gnd2	Rv1122	6-phosphogluconate dehydrogenase	hypoxia_late:12%	0.1772	0.393809943894842	597.33	566	628	603	679	517	194.16	173.55
rpsE	Rv0721	30S ribosomal protein S5	high_iron:10%	0.1792	0.448767705284761	596.11	547	584	585	739	536	1812.65	1619.91
gcvH	Rv1826	glycine cleavage system protein H	acidic_tyloxopol:10%	0.187	0.511907986899657	604.84	578	631	555	733	537	498.4	442.64
egtE	Rv3700c	pyridoxal-phosphate-dependent protein EgtE	hypoxia_late:18%	0.1719	0.382590340016572	595.77	594	614	627	634	514	109.99	98.67
moeX	Rv1681	molybdopterin biosynthesis protein MoeX	acidic_tyloxopol:9%	0.1855	0.520682037071419	604.18	525	583	564	745	615	76.25	67.55
Rv3143	Rv3143	response regulator	butyrate_plus_glucose:11%	0.1861	0.521344730736751	605.25	601	630	569	709	525	474.92	422.31
MTS2977	MTS2977	small intergenic RNA	ctl_exponential:10%	0.174	0.393076313458223	599.35	586	622	625	672	499	739.61	663.68
esxV	Rv3619c	ESAT-6 like protein EsxV	ctl_exponential:9%	0.1733	0.373479307137633	602.75	577	636	626	702	484	1508.73	1354.5
Rv2137c	Rv2137c	hypothetical protein	acidic:15%	0.1779	0.438906070985877	600.14	557	604	593	728	528	2809.75	2513.59
esxI	Rv1037c	ESAT-6 like protein EsxI	ctl_exponential:9%	0.1729	0.378012251800027	607.7	581	640	634	708	487	1524.42	1369
eccD2	Rv3887c	ESX-2 secretion system protein EccD	hypoxia_late:19%	0.1743	0.384549395639232	608.32	570	652	631	680	516	143.42	128.47
Rv0926c	Rv0926c	hypothetical protein	hypoxia_late:12%	0.1753	0.447301129380785	598.44	561	586	629	667	553	85.08	76.15
fadB	Rv0860	fatty oxidation protein FadB	cholesterol:15%	0.1811	0.464135741600157	612.25	546	644	582	753	548	517.34	461.54
mce4A	Rv3499c	Mce family protein Mce4A	acidic_tyloxopol:8%	0.1719	0.367313170550373	609.74	605	670	645	657	482	151.82	136.37
htpG	Rv2299c	chaperone protein HtpG	tyloxopol:8%	0.1707	0.380376522750796	606	592	633	643	698	476	327.58	294.54
qcrB	Rv2196	ubiquinol-cytochrome C reductase cytochrome subunit B	INDIGO_exponential:11%; tyloxopol:11%; microaerophilic:10%	0.1774	0.463738547752429	602.96	574	601	583	703	559	1784.88	1597.22
Rv0988	Rv0988	hypothetical protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.1794	0.566082908490604	586.16	671	567	620	595	486	108.95	97.35
Rv0580c	Rv0580c	hypothetical protein	cholesterol:22%	0.1827	0.508000197434379	613.43	569	632	576	724	573	172.16	153.41
Rv2690c	Rv2690c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:12%; hypoxia_late:10%	0.1702	0.397037410204789	603.96	633	639	666	625	468	91.98	82.72
hemE	Rv2678c	uroporphyrinogen decarboxylase	hypoxia_late:9%	0.1831	0.542318104491348	609.95	560	591	577	779	556	229.56	204.42
nuoB	Rv3146	NADH-quinone oxidoreductase subunit B	high_iron:13%; INDIGO_exponential:12%; ctl_exponential:11%; tyloxopol:10%	0.1756	0.417074656890216	613.7	545	641	628	725	539	588.7	527.29
Rv3194c	Rv3194c	hypothetical protein	hypoxia_late:12%	0.1688	0.392911321956604	608.03	611	638	651	646	501	150.27	135.27
Rv1069c	Rv1069c	hypothetical protein	hypoxia_late:12%	0.1724	0.430224644820744	610.68	588	619	624	716	515	162.71	146.02
MT2326	MT2326	hypothetical protein	hypoxia_late:11%	0.2676	0.972056526032008	602.74	582	282	293	1087	1008	67.34	55.94
MTS0858	MTS0858	putative small regulatory RNA	hypoxia_late:16%; ctl_stationary:11%	0.3698	0.993944330404578	640.73	625	336	162	1338	1151	24.65	18.39
fadD16	Rv0852	hypothetical protein	hypoxia_late:11%	0.1835	0.589108308158174	625.81	573	602	588	742	631	63.44	56.48
htdY	Rv3389c	3-hydroxyacyl-thioester dehydratase HtdY	ctl_exponential:11%	0.1778	0.507604507988327	629.14	551	635	602	805	568	451.26	403.47
ligA	Rv3014c	DNA ligase A	hypoxia_late:21%	0.1694	0.420077148287734	621.8	617	669	641	688	503	93	83.6
Rv3394c	Rv3394c	hypothetical protein	hypoxia_late:41%; zinc_limitation:10%	0.1831	0.588316986813047	627.68	540	599	596	772	643	36.56	32.46
Rv0513	Rv0513	transmembrane protein	high_iron:12%	0.1681	0.434125816143428	620.38	613	637	644	710	507	503.8	453.74
Rv0227c	Rv0227c	membrane protein	tyloxopol:11%	0.1779	0.509339511509888	632.73	567	653	592	787	577	467.37	417.78
ephC	Rv1124	epoxide hydrolase EphC	hypoxia_late:20%	0.1761	0.541671670465277	619.02	580	582	599	729	611	79.62	71.12
MT1083.2	MT1083.2	hypothetical protein	zinc_limitation:8%	0.1722	0.508242389338478	626.6	589	615	618	727	589	359.96	322.7
otsB2	Rv3372	trehalose 6-phosphate phosphatase	hypoxia_late:13%	0.1783	0.564206463356085	630.01	619	634	616	737	551	120.61	107.79
sirA	Rv2391	sulfite reductase	nutrient_limitation:10%	0.1735	0.495687429625457	631.96	583	642	622	754	567	985.43	884.32
Rv1432	Rv1432	dehydrogenase	hypoxia_late:35%	0.1949	0.778751803594565	614.5	622	510	562	755	637	34.2	30.13
ceoB	Rv2691	TRK system potassium uptake protein CeoB	PBS_RIF_DDmtb:17%; ctl_stationary:10%	0.174	0.530798830029465	630.62	597	620	614	732	595	127.18	113.9
