GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0827c_ATC_noDrug	Rv0827c_DMSO_noDrug
vapC2	Rv0301	ribonuclease VapC2	INDIGO_exponential:12%	0.0303	0.99995555017307	1360.62	1502	1454	1448	1087	1334	220.59	219.17
Rv0192	Rv0192	hypothetical protein	human_sputum:8%	0.0256	0.99993522068315	1354.12	1464	1470	1461	1127	1267	212.94	211.79
menH	Rv0558	demethylmenaquinone methyltransferase	hypoxia_fatty_acids:16%	0.0255	0.999929225858857	1358.8	1504	1494	1478	1110	1233	398.21	396.49
MT1083.1	MT1083.1	hypothetical protein	human_sputum:25%	0.032	0.999973898445878	1355.12	1385	1444	1430	1137	1392	168.28	166.87
murI	Rv1338	glutamate racemase	high_iron:9%	0.0307	0.999968408761154	1360.44	1452	1455	1452	1126	1333	156.78	155.64
mak	Rv0127	maltokinase	zinc_limitation:8%	0.0243	0.999935890982898	1359.16	1508	1483	1492	1099	1240	179.62	179.03
serV	Rvnt41	tRNA-Ser	human_sputum:18%; hypoxia_late:16%	0.0424	0.999996643423848	1336.83	1205	1240	1279	1368	1611	116.95	114.4
Rv3531c	Rv3531c	hypothetical protein	hypoxia_fatty_acids:38%; human_sputum:11%	0.0332	0.999983150837675	1359.55	1333	1328	1331	1276	1537	45.17	44.45
vapB6	Rv0657c	antitoxin VapB6	INDIGO_exponential:8%	0.0419	0.999994068952992	1362.72	1382	1298	1292	1256	1599	74.96	73.7
fdhF	Rv2900c	formate dehydrogenase subunit alpha FdhF	microaerophilic:14%	0.0259	0.999953246720442	1372.67	1516	1501	1481	1132	1256	191.39	190.51
MT1266	MT1266	hypothetical protein	PBS_RIF_DDmtb:12%	0.0374	0.999993680331073	1343.21	1215	1387	1405	1208	1514	151.32	149.39
PE12	Rv1172c	PE family protein PE12	acidic_tyloxopol:10%; PBS_RIF_DDmtb:10%	0.0249	0.999955446214115	1364.95	1496	1466	1491	1121	1272	241.22	240.36
Rv1714	Rv1714	oxidoreductase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	0.0342	0.999984999021665	1370.58	1425	1417	1439	1113	1476	44.94	44.59
eccB2	Rv3895c	ESX-2 secretion system protein EccB	hypoxia_late:25%	0.0291	0.999968105008243	1375.29	1482	1439	1443	1162	1363	75.67	75.07
rphA	Rv1340	ribonuclease PH	hypoxia_rar:8%	0.0257	0.999957705625039	1375.03	1481	1497	1475	1148	1292	303.13	301.72
mmpL12	Rv1522c	transmembrane transport protein MmpL12	microaerophilic:12%	0.0239	0.999949160448655	1364.63	1517	1481	1506	1100	1246	71.12	70.92
Rv2553c	Rv2553c	membrane protein	microaerophilic:37%	0.0231	0.999946220089765	1369.38	1513	1512	1507	1120	1222	323.82	322.91
Rv1671	Rv1671	membrane protein	hypoxia_late:18%; ctl_stationary:11%	0.0457	0.999998135685788	1352.83	1200	1230	1249	1441	1672	21.47	20.81
Rv3235	Rv3235	hypothetical protein	hypoxia_late:15%	0.0299	0.999973702501662	1381.25	1472	1453	1432	1168	1393	106.64	105.8
rpsH	Rv0718	30S ribosomal protein S8	hypoxia_rar:13%	0.025	0.999960791990499	1371.64	1484	1504	1490	1139	1262	1453.18	1447.38
echA1	Rv0222	enoyl-CoA hydratase EchA1	acidic:10%	0.024	0.999956604637676	1377.15	1528	1486	1489	1117	1289	219.6	218.89
Rv0846c	Rv0846c	oxidase	microaerophilic:19%; hypoxia_late:15%; hypoxia_fatty_acids:10%	0.0329	0.999984259106278	1381.94	1407	1424	1395	1226	1464	27.75	27.44
Rv3349c	Rv3349c	transposase	hypoxia_late:36%	0.0372	0.999990609673986	1379.46	1398	1349	1346	1286	1524	36.53	35.96
vapC11	Rv1561	ribonuclease VapC11	INDIGO_exponential:11%	0.0351	0.99999041824488	1376.34	1307	1364	1313	1325	1582	70.95	69.69
PE_PGRS8	Rv0742	hypothetical protein	hypoxia_late:38%	0.0339	0.999988003820853	1382.69	1462	1388	1417	1183	1474	64.79	64.19
Rv0539	Rv0539	dolichyl-phosphate sugar synthase	PBS_RIF_DDmtb:10%	0.0267	0.999978151989332	1380.42	1441	1489	1473	1174	1338	216.93	215.75
panC	Rv3602c	pantothenate synthetase	hypoxia_late:10%	0.0255	0.999972175859015	1383.11	1526	1478	1498	1116	1320	136.04	135.55
Rv1990c	Rv1990c	transcriptional regulator	hypoxia_fatty_acids:16%; acidic:12%	0.0311	0.999986655984751	1379.06	1413	1405	1433	1203	1449	145.22	143.95
Rv3134c	Rv3134c	universal stress protein	cholesterol:21%; hypoxia_hypoxic:14%; nutrient_limitation:12%	0.0343	0.999988813822728	1388.2	1331	1511	1413	1194	1505	437.18	432.38
MT2007	MT2007	hypothetical protein	hypoxia_fatty_acids:15%; zinc_limitation:10%	0.0423	0.999999481914057	1347.04	1259	1211	1451	1218	1619	62.65	61.92
purH	Rv0957	bifunctional phosphoribosylaminoimidazolecarboxamide	hypoxia_late:10%	0.0244	0.9999672582305	1391.52	1533	1529	1504	1149	1266	226.19	225.39
pflA	Rv3138	pyruvate formate lyase activating protein PflA	human_sputum:9%	0.0265	0.999977885270268	1389.8	1485	1461	1460	1157	1400	64.85	64.53
Rv3888c	Rv3888c	membrane protein	hypoxia_late:9%	0.0283	0.999978969025164	1397.52	1521	1487	1477	1160	1359	129.27	128.63
atsA	Rv0711	arylsulfatase AtsA	nutrient_limitation:27%; PBS_RIF_DDmtb:17%	0.0251	0.999975109681314	1393.19	1512	1506	1496	1150	1321	64.88	64.65
PE21	Rv2099c	PE family protein	hypoxia_late:32%; microaerophilic:13%; ctl_stationary:12%	0.0451	0.999998886221704	1386.53	1357	1338	1388	1201	1669	35.94	35.41
Rv3174	Rv3174	short-chain dehydrogenase/reductase	butyrate:29%; hypoxia_late:12%	0.048	0.999998953158794	1393.44	1223	1223	1157	1575	1849	8.94	8.5
Rv3577	Rv3577	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:11%	0.031	0.999990587590422	1382.2	1322	1462	1441	1242	1451	60.52	59.98
idsA2	Rv2173	geranylgeranyl pyrophosphate synthetase IdsA	zinc_limitation:10%	0.0241	0.999979670614927	1387.71	1479	1452	1485	1167	1369	116.25	115.76
tam	Rv0294	trans-aconitate methyltransferase	hypoxia_late:15%	0.0333	0.999989931619754	1397.71	1449	1399	1390	1233	1526	31.79	31.46
MT3755	MT3755	hypothetical protein	hypoxia_late:19%	0.0351	0.999994429601627	1384.7	1336	1362	1355	1299	1580	73.61	72.69
espG3	Rv0289	ESX-3 secretion-associated protein EspG3	microaerophilic:27%; zinc_limitation:13%; cholesterol:13%	0.0219	0.999974119475561	1394.64	1534	1518	1519	1155	1270	1373.75	1371.11
MT3454	MT3454	hypothetical protein	hypoxia_late:14%; ctl_stationary:11%	0.0301	0.999990848124671	1387.19	1326	1371	1363	1308	1576	74.58	73.66
Rv3377c	Rv3377c	type B diterpene cyclase	human_sputum:12%	0.0243	0.999984198895576	1388.53	1525	1450	1514	1154	1318	157.8	157.4
grcC1	Rv0562	polyprenyl-diphosphate synthase GrcC	high_iron:8%	0.0214	0.999975475759933	1390.22	1535	1513	1527	1141	1260	289.26	288.83
prfB	Rv3105c	peptide chain release factor PrfB	zinc_limitation:9%	0.025	0.999980730933763	1401.96	1467	1524	1482	1193	1357	168.64	167.8
mazF5	Rv1942c	toxin MazF5	hypoxia_fatty_acids:13%; ctl_stationary:12%	0.0291	0.999988100044233	1401.97	1465	1477	1459	1170	1452	141.62	140.83
MT3974.1	MT3974.1	hypothetical protein	human_sputum:12%	0.0251	0.999982451284299	1404.88	1475	1456	1453	1217	1432	211.66	210.4
Rv1496	Rv1496	transport system kinase	hypoxia_late:13%	0.0244	0.999981850652953	1408.36	1532	1502	1503	1147	1377	91.96	91.69
fadE4	Rv0231	acyl-CoA dehydrogenase FadE4	hypoxia_late:10%	0.0243	0.999986345382184	1393.67	1403	1434	1466	1244	1427	74.79	74.37
Rv2969c	Rv2969c	hypothetical protein	zinc_limitation:9%	0.0221	0.99997952148918	1412.16	1530	1565	1512	1175	1300	600.42	598.84
amt	Rv2920c	ammonium transporter integral membrane protein	human_sputum:14%; hypoxia_late:14%	0.028	0.999989774269373	1412.69	1394	1464	1415	1281	1515	45.94	45.46
Rv3433c	Rv3433c	bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	hypoxia_late:35%	0.0242	0.99999134453685	1390.14	1361	1472	1499	1230	1397	94.47	94.04
thrU	Rvnt39	tRNA-Thr	hypoxia_late:25%	0.0455	0.999999917890672	1402.4	1204	1023	1184	1858	1853	24.26	23.23
MT2668	MT2668	hypothetical protein	nutrient_limitation:37%; butyrate_plus_glucose:18%	0.0321	0.999995352801909	1411.78	1402	1393	1387	1294	1591	120.25	119.1
mhuD	Rv3592	heme-degrading monooxygenase	tyloxopol:10%	0.0224	0.999987127472727	1413.42	1488	1528	1511	1205	1349	1358.83	1355.36
lprD	Rv1343c	lipoprotein LprD	low_iron:24%; human_sputum:18%	0.0343	0.999996645153756	1415.31	1422	1491	1468	1166	1546	60.74	60.33
fadA5	Rv3546	acetyl-CoA acetyltransferase FadA	hypoxia_fatty_acids:48%; hypoxia_late:10%; human_sputum:10%	0.0292	0.999990664159126	1432.47	1448	1421	1341	1354	1606	41.37	40.75
rubA	Rv3251c	rubredoxin RubA	nutrient_limitation:46%; PBS_RIF_DDmtb:22%	0.0293	0.99999459536519	1405.89	1431	1460	1488	1199	1462	331.61	329.97
Rv2434c	Rv2434c	transmembrane protein	hypoxia_late:17%	0.0267	0.999991338838264	1415.81	1377	1426	1403	1314	1565	44.65	44.18
ppdK	Rv1127c	pyruvate, phosphate dikinase PpdK	hypoxia_late:8%	0.0215	0.999986534447266	1414.28	1538	1545	1526	1161	1323	133.75	133.55
Rv3618	Rv3618	monooxygenase	hypoxia_late:10%	0.0283	0.999992090307855	1422.32	1451	1403	1404	1298	1562	41.17	40.72
hsaF	Rv3534c	4-hydroxy-2-oxovalerate aldolase	microaerophilic:38%; hypoxia_fatty_acids:18%	0.0242	0.99999096257113	1407.72	1400	1482	1479	1240	1445	79.83	79.43
Rv0221	Rv0221	diacyglycerol O-acyltransferase	high_iron:9%	0.0228	0.999987372157266	1422.62	1542	1577	1520	1172	1324	136.57	136.24
Rv3510c	Rv3510c	hypothetical protein	hypoxia_late:15%	0.0258	0.999990735773393	1425.33	1480	1493	1476	1207	1482	63.38	63.1
Rv0955	Rv0955	integral membrane protein	ctl_exponential:8%	0.0169	0.999980523210932	1426.33	1560	1562	1567	1186	1281	307.55	308.01
fadD9	Rv2590	fatty-acid--CoA ligase FadD9	nutrient_limitation:34%; butyrate_plus_glucose:17%; PBS_RIF_DDmtb:12%	0.0141	0.999958132633905	1454.23	1576	1623	1601	1211	1287	260.56	261.48
Rv0909	Rv0909	antitoxin	human_sputum:14%	0.0248	0.999992451761971	1422.59	1443	1488	1484	1252	1453	468.42	466.5
hflX	Rv2725c	GTP-binding protein HflX	zinc_limitation:9%	0.0175	0.999982554945973	1426.95	1561	1583	1563	1179	1275	319.17	319.53
PE_PGRS19	Rv1067c	PE-PGRS family protein PE_PGRS19	hypoxia_late:33%	0.0262	0.999994490037615	1420.14	1362	1406	1428	1332	1579	25.52	25.29
dxr	Rv2870c	1-deoxy-D-xylulose 5-phosphate reductoisomerase	microaerophilic:12%	0.0199	0.999988931650674	1419.84	1537	1525	1532	1191	1332	188.04	187.79
MT0903	MT0903	hypothetical protein	hypoxia_late:16%; ctl_stationary:10%	0.0311	0.999998346614622	1402.5	1241	1326	1377	1420	1666	36.41	35.85
Rv0349	Rv0349	hypothetical protein	hypoxia_fatty_acids:11%	0.0289	0.999994729965067	1429.51	1405	1425	1382	1334	1609	41.8	41.31
Rv2597	Rv2597	membrane protein	PBS_RIF_DDmtb:11%	0.0238	0.999990751599573	1433.69	1495	1510	1474	1234	1465	116.75	116.2
MT0291.2	MT0291.2	hypothetical protein	microaerophilic:43%; hypoxia_late:16%; ctl_stationary:11%	0.0426	0.999999939663087	1439.25	1380	1266	1373	1417	1786	16.77	16.44
Rv2401	Rv2401	hypothetical protein	PBS_RIF_DDmtb:10%	0.0319	0.99999783208212	1437.67	1411	1430	1420	1343	1590	50.34	49.88
Rv3198A	Rv3198A	glutaredoxin protein	ctl_exponential:12%	0.0252	0.999998674327253	1389.38	1250	1355	1500	1300	1554	181.09	180.12
Rv0370c	Rv0370c	oxidoreductase	hypoxia_late:28%; ctl_stationary:13%; human_sputum:10%	0.0374	0.999999615984863	1444.39	1234	1312	1236	1588	1907	10.57	10.18
Rv3591c	Rv3591c	hydrolase	hypoxia_late:28%; PBS_RIF_DDmtb:10%	0.035	0.999997152152204	1467.61	1527	1602	1445	1232	1547	26.95	26.68
Rv1119c	Rv1119c	hypothetical protein	hypoxia_late:11%	0.0369	0.999998668561211	1465.21	1506	1564	1431	1268	1568	104.65	103.33
Rv0296c	Rv0296c	sulfatase	tyloxopol:10%	0.0214	0.999994017495445	1437.12	1511	1509	1516	1224	1437	59.94	59.81
mmaA2	Rv0644c	cyclopropane mycolic acid synthase CmaA	hypoxia_rar:8%	0.02	0.999993908628952	1428.02	1524	1500	1530	1219	1380	215.92	215.59
pstC1	Rv0935	phosphate ABC transporter permease PstC	ctl_exponential:11%	0.0197	0.999996423720594	1404.42	1522	1530	1543	1171	1278	499.21	499.1
ilvG	Rv1820	acetolactate synthase large subunit IlvG	hypoxia_late:12%	0.0165	0.999987570210093	1453.57	1564	1605	1568	1213	1339	163.29	163.56
atsB	Rv3299c	arylsulfatase AtsB	hypoxia_late:10%	0.0161	0.999979455947344	1468.84	1665	1622	1578	1206	1303	204.03	204.47
MT1760	MT1760	hypothetical protein	hypoxia_late:13%	0.0321	0.999998642954199	1448.45	1416	1411	1370	1412	1641	98.7	97.41
mshA	Rv0486	D-inositol 3-phosphate glycosyltransferase	microaerophilic:17%	0.0159	0.999984792031302	1460.24	1568	1607	1582	1225	1340	322.51	323.26
tatA	Rv2094c	Sec-independent protein translocase membrane-bound protein TatA	acidic:11%	0.0163	0.999987583309909	1454.67	1579	1560	1575	1222	1356	1583.98	1587.65
Rv2739c	Rv2739c	transferase	hypoxia_late:28%	0.0203	0.999995696534595	1424.64	1541	1520	1537	1185	1358	145.5	145.4
senX3	Rv0490	two component sensor histidine kinase SenX3	human_sputum:9%	0.0181	0.999992233546789	1441.31	1584	1581	1559	1196	1310	322.8	323.11
Rv1424c	Rv1424c	membrane protein	tyloxopol:9%	0.0219	0.999995993192251	1434.57	1387	1480	1494	1296	1522	77.27	76.99
gltB	Rv3859c	glutamate synthase large subunit	zinc_limitation:10%	0.0162	0.999989507684012	1451.1	1562	1554	1571	1220	1366	458.05	458.94
lpqO	Rv0604	lipoprotein LpqO	hypoxia_late:26%	0.0219	0.999995553900258	1446.37	1515	1532	1524	1215	1459	83.19	83.02
Rv3430c	Rv3430c	transposase	hypoxia_late:10%	0.0222	0.99999561046222	1447.63	1474	1563	1510	1255	1446	87.91	87.64
Rv3208	Rv3208	TetR family transcriptional regulator	tyloxopol:11%	0.0184	0.999992784788275	1447.95	1581	1543	1562	1200	1373	236.67	236.91
mpt53	Rv2878c	soluble secreted antigen Mpt53	PBS_RIF_DDmtb:34%; nutrient_limitation:14%	0.0228	0.999994939808821	1457.79	1491	1552	1501	1264	1490	137.31	136.8
coaE	Rv1631	dephospho-CoA kinase CoaE	high_iron:9%	0.0181	0.999993584070861	1453.03	1596	1575	1561	1212	1342	503.73	504.18
PPE44	Rv2770c	PPE family protein PPE44	hypoxia_late:9%	0.0225	0.99999947864022	1399.58	1374	1496	1539	1184	1419	81.63	81.54
Rv2018	Rv2018	hypothetical protein	acidic:9%	0.0241	0.999999207353019	1413.16	1328	1459	1525	1235	1531	58.57	58.42
Rv3200c	Rv3200c	transmembrane cation transporter	tyloxopol:9%	0.015	0.999986091547213	1471.74	1571	1617	1587	1238	1365	365.53	366.57
Rv3412	Rv3412	hypothetical protein	acidic_tyloxopol:8%	0.0131	0.999977836333477	1490.99	1580	1642	1627	1245	1382	746.9	750.5
glfT2	Rv3808c	galactofuranosyl transferase GlfT	hypoxia_rar:9%	0.0118	0.999966364892096	1495.49	1646	1624	1638	1250	1344	362.82	364.67
rne	Rv2444c	ribonuclease E	nutrient_limitation:9%	0.0129	0.999976011607844	1496.49	1635	1647	1614	1243	1367	601.2	603.79
PE_PGRS49	Rv3344c	PE-PGRS family protein PE_PGRS49	hypoxia_late:54%	0.0237	0.99999744735837	1460.04	1490	1484	1493	1304	1535	40.41	40.22
Rv3672c	Rv3672c	hypothetical protein	zinc_limitation:10%	0.013	0.999980446576646	1492.49	1592	1615	1636	1239	1401	274.4	275.84
espI	Rv3876	ESX-1 secretion-associated protein EspI	human_sputum:15%	0.013	0.999971411656454	1505.97	1673	1661	1628	1247	1348	190.32	191.17
MT0431	MT0431	hypothetical protein	hypoxia_late:21%; low_iron:19%	0.0504	0.999999964540981	1530.62	1325	1385	1050	1974	2040	11.3	10.56
folE	Rv3609c	GTP cyclohydrolase I	microaerophilic:24%; PBS_RIF_DDmtb:11%	0.0205	0.999997845514467	1447.04	1565	1547	1555	1180	1408	188.76	188.9
Rv0474	Rv0474	HTH-type transcriptional regulator	hypoxia_hypoxic:14%	0.0268	0.999999249222157	1456.11	1489	1505	1513	1246	1538	91.19	90.84
cpsY	Rv0806c	exopolysaccharide phosphotransferase CpsY	PBS_RIF_DDmtb:12%	0.0175	0.999992000379985	1474.19	1586	1590	1580	1204	1431	71.7	71.87
rfbD	Rv3783	O-antigen/lipopolysaccharide ABC transporter permease RfbD	INDIGO_exponential:12%	0.0196	0.999997868934205	1445.18	1572	1576	1549	1188	1362	247.8	247.86
ligD	Rv0938	multifunctional non-homologous end joining DNA repair protein/ATP dependent DNA ligase LigD	microaerophilic:15%	0.0135	0.999982029828528	1499.45	1629	1644	1607	1262	1376	179.3	180.05
vapC12	Rv1720c	ribonuclease VapC12	hypoxia_late:21%; ctl_stationary:10%	0.0322	0.999999401476376	1482.91	1386	1410	1281	1594	1768	21.81	21.3
Rv2517c	Rv2517c	hypothetical protein	hypoxia_fatty_acids:32%	0.0261	0.999998839917683	1464.8	1471	1437	1472	1324	1628	78.78	78.36
Rv0316	Rv0316	muconolactone isomerase	hypoxia_late:11%; tyloxopol:10%	0.0194	0.999996995584604	1455.14	1593	1561	1558	1195	1389	247.19	247.43
fadA6	Rv3556c	acetyl-CoA acetyltransferase FadA	human_sputum:21%; hypoxia_fatty_acids:12%	0.0184	0.999995144146571	1468.26	1609	1549	1564	1221	1416	119.3	119.44
pepC	Rv0800	M18 family aminopeptidase	hypoxia_late:25%	0.0206	0.999996284360309	1468.97	1439	1542	1483	1326	1561	73.68	73.32
Rv1597	Rv1597	hypothetical protein	low_iron:9%	0.0179	0.999995812943752	1465.85	1540	1557	1529	1260	1454	191.17	190.91
Rv0148	Rv0148	short-chain type dehydrogenase/reductase	acidic:9%	0.0138	0.999987854645425	1492.5	1585	1596	1610	1267	1420	270.54	271.76
Rv2676c	Rv2676c	hypothetical protein	zinc_limitation:7%	0.0201	0.999997663371088	1460.79	1558	1570	1554	1198	1442	124.48	124.53
PPE10	Rv0442c	PPE family protein PPE10	ctl_stationary:14%; hypoxia_late:12%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.0201	0.999997784767624	1460.52	1436	1503	1509	1320	1540	50.88	50.74
pepR	Rv2782c	zinc protease	high_iron:10%	0.0134	0.999984450227962	1503.36	1601	1676	1606	1270	1384	524.93	527.09
fba	Rv0363c	fructose-bisphosphate aldolase	zinc_limitation:10%	0.011	0.9999679713639	1522.57	1695	1641	1660	1271	1371	431.76	434.33
Rv2532c	Rv2532c	hypothetical protein	low_iron:9%	0.0196	0.999996305773097	1474.08	1536	1544	1521	1282	1496	212.33	211.9
Rv1132	Rv1132	hypothetical protein	PBS_RIF_DDmtb:13%	0.0199	0.999998477409432	1456.43	1555	1558	1538	1253	1391	382.93	382.75
hemC	Rv0510	porphobilinogen deaminase	high_iron:8%	0.0088	0.999947817693816	1533.47	1666	1698	1702	1279	1351	763.3	768.81
Rv1012	Rv1012	hypothetical protein	hypoxia_late:25%	0.0286	0.999999846085575	1462.14	1262	1263	1299	1668	1870	23.65	23.12
Rv2804c	Rv2804c	hypothetical protein	hypoxia_late:36%	0.0222	0.999997946901169	1473.09	1450	1448	1457	1386	1630	53.64	53.29
relA	Rv2583c	bifunctional (p)ppGpp synthase/hydrolase RelA	acidic:11%; microaerophilic:10%	0.0113	0.999974783266739	1522.97	1668	1681	1639	1273	1378	380.75	382.83
vapB9	Rv0959A	antitoxin VapB9	hypoxia_fatty_acids:11%	0.0249	0.999998635615911	1485.84	1463	1479	1435	1409	1649	98.84	97.98
Rv0406c	Rv0406c	beta lactamase-like protein	hypoxia_late:18%	0.0208	0.999998593821834	1467.96	1556	1499	1535	1241	1521	68.26	68.26
Rv2417c	Rv2417c	DegV domain-containing protein	hypoxia_late:16%	0.0135	0.999989193759203	1500.99	1595	1637	1593	1275	1421	237.95	238.75
oplA	Rv0266c	5-oxoprolinase OplA	hypoxia_late:17%; PBS_RIF_DDmtb:11%	0.0172	0.999997297947084	1467.11	1543	1582	1536	1254	1433	48.86	48.84
PE_PGRS22	Rv1091	PE-PGRS family protein PE_PGRS22	hypoxia_late:26%	0.0185	0.999996891545765	1481.22	1590	1628	1557	1258	1390	158.2	158.33
xseA	Rv1108c	exodeoxyribonuclease VII large subunit	high_iron:10%	0.0107	0.999974646478704	1525.36	1618	1685	1662	1288	1395	228.12	229.46
recB	Rv0630c	exonuclease V subunit beta RecB	hypoxia_late:43%	0.0191	0.999997791049257	1470.7	1591	1594	1541	1237	1407	41.37	41.37
ddlA	Rv2981c	D-alanine--D-alanine ligase	zinc_limitation:10%	0.0139	0.999989459547256	1513.09	1616	1656	1603	1274	1434	187.52	188.3
purK	Rv3276c	N5-carboxyaminoimidazole ribonucleotide synthase	hypoxia_late:11%	0.0125	0.99998273620507	1523.84	1639	1687	1634	1272	1409	191.1	192.05
Rv1874	Rv1874	hypothetical protein	ctl_stationary:7%	0.0196	0.999997724799393	1490.28	1476	1490	1470	1383	1638	106.44	105.82
Rv1627c	Rv1627c	nonspecific lipid-transfer protein	hypoxia_fatty_acids:16%	0.0106	0.999981584623128	1520.13	1652	1618	1642	1303	1403	328.61	330.49
Rv3249c	Rv3249c	TetR family transcriptional regulator	nutrient_limitation:41%; PBS_RIF_DDmtb:23%	0.0175	0.999995418087896	1500.88	1643	1638	1566	1261	1415	428.72	429.39
Rv0538	Rv0538	membrane protein	ctl_stationary:16%; PBS_RIF_DDmtb:10%	0.0172	0.999998042077114	1468.39	1559	1600	1551	1249	1398	124.28	124.32
Rv2136c	Rv2136c	undecaprenyl-diphosphatase	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	0.0108	0.999978975032052	1536.29	1628	1671	1669	1283	1450	209.78	211.05
Rv1086	Rv1086	(2Z,6E)-farnesyl diphosphate synthase	ctl_stationary:10%	0.0146	0.999994040937232	1503.33	1597	1593	1588	1290	1461	172.42	172.91
thiO	Rv0415	thiamine biosynthesis oxidoreductase ThiO	hypoxia_late:14%; low_iron:13%	0.0218	0.999999675797616	1466.28	1563	1555	1548	1189	1495	56.66	56.67
gabT	Rv2589	4-aminobutyrate aminotransferase	microaerophilic:10%	0.018	0.999998026901447	1483.52	1613	1604	1556	1257	1404	171.27	171.38
Rv0326	Rv0326	hypothetical protein	hypoxia_fatty_acids:32%; hypoxia_late:15%; ctl_stationary:12%	0.0261	0.999999779132249	1487.44	1369	1309	1381	1597	1809	19.57	19.25
Rv1489A	Rv1489A	hypothetical protein	acidic:10%	0.0217	0.999998787342592	1492.34	1493	1517	1502	1355	1600	169.24	168.55
Rv0394c	Rv0394c	hypothetical protein	human_sputum:11%	0.0185	0.99999802474925	1490.9	1529	1546	1523	1321	1542	114.74	114.49
mku	Rv0937c	non-homologous end joining protein Ku	INDIGO_exponential:10%	0.0173	0.999995891089302	1502.04	1578	1606	1581	1266	1493	99.23	99.45
MT2068	MT2068	hypothetical protein	hypoxia_fatty_acids:15%	0.031	0.999999898066758	1501	1477	1418	1454	1413	1756	20.2	20.01
Rv1779c	Rv1779c	integral membrane protein	hypoxia_rar:11%	0.0113	0.999986318529532	1523.3	1653	1609	1633	1307	1430	154.52	155.33
mrr	Rv2528c	restriction system protein	hypoxia_late:16%; ctl_stationary:12%	0.0224	0.999999618502091	1479.48	1574	1526	1552	1214	1548	41.51	41.52
Rv3813c	Rv3813c	hypothetical protein	hypoxia_late:11%	0.013	0.999989290491473	1526.67	1603	1679	1622	1277	1470	162.78	163.51
phoR	Rv0758	two component system response sensor kinase PhoR	acidic_tyloxopol:8%	0.0113	0.999985814589345	1533.91	1626	1673	1644	1297	1447	138.69	139.48
MT1055	MT1055	hypothetical protein	acidic_tyloxopol:20%; butyrate_plus_glucose:15%; butyrate:12%; tyloxopol:11%	0.0296	0.999999800353618	1509.44	1514	1475	1449	1390	1730	26.03	25.84
Rv0492A	Rv0492A	hypothetical protein	hypoxia_late:18%	0.0222	0.999999566931318	1490.91	1351	1447	1440	1495	1735	59.54	58.97
PE_PGRS12	Rv0832	PE-PGRS family protein PE_PGRS12	hypoxia_late:20%	0.0204	0.999999750133184	1472.57	1545	1569	1546	1231	1486	159.61	159.57
Rv0926c	Rv0926c	hypothetical protein	hypoxia_late:12%	0.0156	0.999996071899745	1507.43	1567	1608	1583	1287	1504	84.86	85.08
rmlD	Rv3266c	dTDP-4-dehydrorhamnose reductase	hypoxia_late:9%	0.0133	0.999994497021834	1514.35	1577	1585	1605	1309	1506	159.67	160.37
rpsB	Rv2890c	30S ribosomal protein S2	hypoxia_rar:10%; hypoxia_hypoxic:10%	0.0093	0.999977467815076	1558.25	1733	1691	1668	1305	1418	709.77	714.72
MT1232	MT1232	hypothetical protein	human_sputum:10%; acidic_tyloxopol:10%	0.0281	0.999999918093632	1501.34	1523	1495	1528	1259	1720	36.3	36.22
cyp130	Rv1256c	cytochrome P450 Cyp130	hypoxia_fatty_acids:31%; hypoxia_late:12%	0.0131	0.999991877776158	1537.59	1608	1662	1630	1284	1520	76.83	77.21
argW	Rvnt28	tRNA-Arg	hypoxia_late:32%; hypoxia_hypoxic:18%	0.0337	0.999999999998481	1522.09	1366	1112	1227	2071	1956	4.51	4.2
esxD	Rv3891c	ESAT-6 like protein EsxD	acidic:11%; hypoxia_rar:11%	0.0129	0.999995012986	1515.2	1621	1574	1590	1323	1478	630.36	632.54
Rv3600c	Rv3600c	type III pantothenate kinase	zinc_limitation:9%	0.0104	0.999983126595521	1554.44	1664	1675	1680	1289	1484	169.36	170.57
treS	Rv0126	trehalose synthase/amylase TreS	zinc_limitation:8%	0.0114	0.999992057485233	1530.24	1600	1631	1618	1317	1497	80.96	81.34
Rv1319c	Rv1319c	adenylate cyclase	PBS_RIF_DDmtb:18%; nutrient_limitation:14%	0.0171	0.999999086919552	1495.02	1569	1579	1553	1293	1491	56.72	56.75
Rv1573	Rv1573	phage protein	hypoxia_late:50%	0.0239	0.999999899158611	1497.36	1429	1457	1517	1361	1736	19.74	19.69
MT3042	MT3042	hypothetical protein	hypoxia_late:10%	0.0204	0.999999919841115	1485.43	1316	1372	1486	1530	1741	41.7	41.43
Rv0919	Rv0919	GCN5-like N-acetyltransferase	INDIGO_exponential:8%	0.0191	0.99999968359376	1494.57	1573	1598	1547	1285	1481	217.93	217.94
Rv2326c	Rv2326c	ABC transporter ATP-binding protein	microaerophilic:9%	0.0073	0.999975969871363	1567.44	1676	1738	1691	1329	1425	324.58	327.19
