GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv0494_DMSO_RIF	Rv0494_DMSO_noDrug
Rv2859c	Rv2859c	glutamine amidotransferase	hypoxia_late:16%	0.1272	0.508684138311633	526.5	581	646	541	453	427	164.16	150.8
MTS2292	MTS2292	small intergenic RNA	acidic_tyloxopol:16%	0.1308	0.536135098463745	535.08	554	617	587	476	451	269.01	246.42
pgsA1	Rv2612c	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	hypoxia_late:10%	0.1369	0.578558360076899	544.44	540	632	565	499	492	182.71	166.72
Rv2310	Rv2310	excisionase	hypoxia_late:44%; ctl_stationary:12%; PBS_RIF_DDmtb:10%	0.2454	0.972902592328706	566.83	471	266	313	913	1097	6.16	4.87
Rv2732c	Rv2732c	transmembrane protein	hypoxia_late:9%	0.1342	0.597993661335325	532.69	586	611	609	474	401	287.61	262.85
PE_PGRS16	Rv0977	PE-PGRS family protein PE_PGRS16	microaerophilic:25%; hypoxia_late:19%	0.1597	0.779569995868989	558.11	559	601	601	553	481	34.39	30.78
Rv0963c	Rv0963c	hypothetical protein	hypoxia_late:25%; ctl_stationary:16%; PBS_RIF_DDmtb:14%	0.2104	0.907688091864919	585.44	517	575	472	628	755	12.31	10.53
cut2	Rv2301	cutinase	acidic_tyloxopol:10%	0.1422	0.647067258277233	548.13	507	561	561	537	576	92.78	84.22
thrB	Rv1296	homoserine kinase	hypoxia_late:8%	0.1484	0.753152323237833	537.31	660	585	584	491	388	291.43	263.9
acpA	Rv0033	acyl carrier protein AcpA	hypoxia_late:24%; ctl_stationary:11%	0.278	0.984578057832747	579.65	606	405	363	744	859	14.27	11.42
ksgA	Rv1010	rRNA small subunit methyltransferase A	zinc_limitation:11%	0.1247	0.500884286122429	540.06	579	658	641	482	369	286.76	263.86
Rv0007	Rv0007	membrane protein	acidic:8%	0.1385	0.629781031838614	550.19	556	625	610	569	406	629.09	573.69
Rv2219A	Rv2219A	membrane protein	acidic_tyloxopol:10%	0.1456	0.697472102335563	552.63	526	563	579	535	561	167.88	152.24
eccE5	Rv1797	ESX-5 type VII secretion system protein EccE	acidic:8%	0.1599	0.782963042806394	568.83	455	538	552	543	780	829.01	744.7
Rv2611c	Rv2611c	phosphatidylinositol mannoside acyltransferase	zinc_limitation:9%	0.1266	0.536126032234281	541.65	590	666	568	473	428	180.27	165.7
Rv2086	Rv2086	hypothetical protein	hypoxia_late:17%; ctl_stationary:12%; microaerophilic:11%	0.1781	0.878922812361584	577.08	464	469	509	649	834	22.36	19.68
Rv1112	Rv1112	GTP-binding protein	hypoxia_late:28%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	0.154	0.785717706347045	558.68	496	486	531	580	715	24.87	22.29
dapA	Rv2753c	4-hydroxy-tetrahydrodipicolinate synthase	zinc_limitation:9%	0.1237	0.481844365097354	547.42	575	660	679	517	343	548.69	505.38
MT0772.2	MT0772.2	hypothetical protein	hypoxia_late:55%	0.233	0.949725486979976	593.07	512	449	444	717	906	23.37	19.64
relJ	Rv3357	antitoxin RelJ	hypoxia_late:28%; ctl_stationary:13%	0.2279	0.960220691675385	580.16	505	353	416	797	933	16.94	14.16
fadD18	Rv3513c	fatty-acid--CoA ligase FadD18	hypoxia_fatty_acids:28%; ctl_stationary:16%; hypoxia_late:16%	0.1695	0.857451947652345	575.47	429	430	463	697	935	16.28	14.34
Rv3712	Rv3712	ligase	hypoxia_late:27%	0.1383	0.664117958931178	553.29	532	587	522	526	602	46.05	41.88
sadH	Rv3085	oxidoreductase SadH	hypoxia_late:18%; nutrient_limitation:16%	0.1388	0.650950204596902	562.25	531	615	557	548	562	92.73	84.46
MT1172.1	MT1172.1	hypothetical protein	PBS_RIF_DDmtb:10%	0.1834	0.904600940533395	579.12	459	446	544	726	757	78.99	69.41
cdsA	Rv2881c	phosphatidate cytidylyltransferase	acidic:10%	0.1203	0.48080566805198	550.05	641	704	580	507	354	486.35	449.15
glgA	Rv1212c	capsular glucan synthase	tyloxopol:8%	0.1225	0.495389866310591	553.13	594	681	666	510	351	341.87	315.11
Rv2599	Rv2599	membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:10%	0.1696	0.891320530845244	571.2	558	465	548	625	671	70.33	62.45
PE_PGRS58	Rv3590c	PE-PGRS family protein PE_PGRS58	hypoxia_late:34%	0.1545	0.866748438783099	547.73	751	566	566	466	418	61.22	55.08
gatA	Rv3011c	glutamyl-tRNA(GLN) amidotransferase subunit A	hypoxia_late:24%	0.1636	0.852511321447707	573.75	610	578	638	578	472	81.08	72.47
rpsN1	Rv0717	30S ribosomal protein S14	human_sputum:18%; hypoxia_rar:12%	0.132	0.639738411547293	558.73	592	633	640	506	437	1037.91	950.04
rplL	Rv0652	50S ribosomal protein L7/L12	tyloxopol:12%; high_iron:11%	0.1503	0.809093925018987	566.57	608	558	605	575	491	339.23	306.48
smtB	Rv2358	HTH-type transcriptional regulator SmtB	hypoxia_fatty_acids:15%	0.1502	0.826341619494917	559.92	578	485	575	584	581	160.61	144.87
mrp	Rv1229c	multiple resistance/pH adaptation protein	butyrate_plus_glucose:8%	0.1189	0.473952440421163	562.04	651	713	617	521	348	423.58	391.54
PE_PGRS30	Rv1651c	PE-PGRS family protein PE_PGRS30	microaerophilic:27%; hypoxia_late:13%	0.1494	0.84136491955882	551.8	759	602	616	470	356	95.35	86.18
Rv2248	Rv2248	hypothetical protein	INDIGO_exponential:10%	0.1213	0.524412721226626	559.71	616	695	642	485	390	300.72	277.42
pepN	Rv2467	aminopeptidase PepN	ctl_exponential:9%	0.1272	0.589279429041188	564.37	612	667	683	528	365	168.99	155.21
Rv3120	Rv3120	hypothetical protein	INDIGO_exponential:9%	0.1261	0.590453010424655	562.3	587	651	595	486	501	211.22	194.16
hflX	Rv2725c	GTP-binding protein HflX	zinc_limitation:9%	0.1194	0.488013608121148	562.58	648	722	607	523	352	356.13	329.06
csoR	Rv0967	copper-sensing transcriptional repressor CsoR	microaerophilic:56%; hypoxia_fatty_acids:14%	0.1279	0.62006959058651	562.76	589	648	539	512	531	312.07	286.66
fabH	Rv0533c	3-oxoacyl-[acyl-carrier-protein] synthase III	hypoxia_rar:9%	0.1264	0.584708773465772	571.3	580	688	633	504	466	162.93	149.7
eccC2	Rv3894c	ESX-2 type VII secretion system protein EccC	hypoxia_late:11%	0.1192	0.509353874692222	563.02	649	724	602	508	368	83.37	76.97
dnaE2	Rv3370c	error-prone DNA polymerase	microaerophilic:27%; hypoxia_late:18%; zinc_limitation:12%	0.1243	0.582234853189143	572.4	598	705	613	494	468	50.24	46.18
smc	Rv2922c	chromosome partition protein Smc	hypoxia_late:18%	0.1261	0.595227228963249	573.64	624	690	682	529	376	102.5	94.18
PE_PGRS4	Rv0279c	PE-PGRS family protein PE_PGRS4	microaerophilic:40%; hypoxia_late:15%	0.1495	0.803700281006721	579.51	666	634	677	533	411	93.67	84.61
Rv2712c	Rv2712c	hypothetical protein	PBS_RIF_DDmtb:24%	0.1486	0.814793601316658	576.58	633	595	582	555	521	76.32	69.03
Rv2559c	Rv2559c	hypothetical protein	acidic:13%; microaerophilic:12%; acidic_tyloxopol:10%	0.1307	0.662321198516204	573.18	566	647	546	539	571	58.7	53.72
parD2	Rv2142A	antitoxin ParD2	hypoxia_fatty_acids:11%; ctl_stationary:10%	0.1427	0.734757814084227	579.45	508	540	556	609	693	199.92	181.5
rphA	Rv1340	ribonuclease PH	hypoxia_rar:8%	0.1199	0.547179434649744	571.86	634	706	635	515	397	366.12	338.18
Rv0149	Rv0149	quinone oxidoreductase	acidic:13%	0.1253	0.581963056840861	578	591	698	668	522	432	240.14	220.97
Rv2781c	Rv2781c	oxidoreductase	low_iron:26%	0.1294	0.643462243102843	577.22	603	678	624	573	425	377.61	346.53
Rv3851	Rv3851	membrane protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%	0.1711	0.891121375098569	595.47	529	516	615	671	655	123.95	110.1
Rv2661c	Rv2661c	hypothetical protein	ctl_stationary:19%; acidic_tyloxopol:16%; hypoxia_fatty_acids:14%; PBS_RIF_DDmtb:11%	0.1694	0.895224847079096	592.32	498	444	449	711	927	29.33	26.01
MT1717	MT1717	hypothetical protein	high_iron:10%; butyrate:10%	0.1459	0.793596424812429	579.35	524	513	469	614	805	263.99	239.37
esxR	Rv3019c	ESAT-6 like protein EsxR	microaerophilic:23%; hypoxia_late:14%	0.1509	0.826652541165405	580.4	516	496	423	656	858	67.05	60.48
Rv1087A	Rv1087A	conserved hypothetical protein	hypoxia_late:19%; ctl_stationary:17%; human_sputum:14%	0.2239	0.974187116984444	603.29	565	414	521	709	855	17.58	14.78
Rv0765c	Rv0765c	oxidoreductase	hypoxia_fatty_acids:19%; microaerophilic:19%; ctl_stationary:12%; hypoxia_late:11%	0.1536	0.881155577651388	575.91	605	487	550	582	663	39.47	35.46
pckA	Rv0211	phosphoenolpyruvate carboxykinase	zinc_limitation:10%	0.1179	0.490643019164444	577.97	642	716	695	532	349	507.78	469.64
Rv2164c	Rv2164c	hypothetical protein	microaerophilic:20%	0.1328	0.671652656115941	579.95	600	668	627	565	452	256.83	235.1
eccD5	Rv1795	ESX-5 type VII secretion system protein EccD	butyrate_plus_glucose:8%	0.1188	0.533736317772126	579.68	654	731	625	554	370	496.31	458.81
pepA	Rv0125	serine protease PepA	hypoxia_rar:9%	0.1225	0.574465839685356	584.76	622	726	660	541	403	294.04	271.09
Rv3435c	Rv3435c	transmembrane protein	zinc_limitation:8%	0.1238	0.612238790432518	582.54	604	685	631	505	499	168.76	155.39
rpsI	Rv3442c	30S ribosomal protein S9	hypoxia_rar:10%	0.1371	0.722712843394786	588.41	613	641	711	560	436	665.77	607.49
yrbE3A	Rv1964	integral membrane protein	hypoxia_late:20%; microaerophilic:13%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.1797	0.933173118390569	608.68	538	474	530	689	848	15.21	13.32
Rv0874c	Rv0874c	hypothetical protein	hypoxia_late:13%; ctl_stationary:11%	0.1277	0.640086733639415	587.76	585	693	603	540	525	112.09	102.93
fdhF	Rv2900c	formate dehydrogenase subunit alpha FdhF	microaerophilic:14%	0.1402	0.782364346681346	582.72	682	622	629	577	422	264.06	240.48
cobG	Rv2064	precorrin-3B synthase	hypoxia_late:22%	0.1409	0.796771766917185	582.81	696	620	637	516	461	129.88	118.11
PPE33	Rv1809	PPE family protein PPE33	acidic:20%; acidic_tyloxopol:14%; zinc_limitation:11%	0.1338	0.728577936336217	583.74	574	603	621	570	552	63.95	58.37
blaR	Rv1845c	sensor-transducer protein BlaR	hypoxia_fatty_acids:8%	0.119	0.548923194991715	587.41	640	720	684	549	379	438.16	404.91
cycA	Rv1704c	D-serine/alanine/glycine transporter protein CycA	tyloxopol:11%	0.1197	0.577817563511773	584.84	627	710	656	502	450	117.65	108.57
MT1264.1	MT1264.1	hypothetical protein	PBS_RIF_DDmtb:23%; microaerophilic:13%; hypoxia_late:11%	0.1345	0.725451332125916	588.1	543	582	562	593	664	91.91	83.87
Rv0176	Rv0176	Mce associated transmembrane protein	high_iron:11%	0.1537	0.834709348209558	618.09	489	572	606	598	853	531.95	479.89
atpC	Rv1311	ATP synthase subunit epsilon	ctl_exponential:15%; INDIGO_exponential:12%	0.1183	0.55011946945568	588.89	664	734	647	558	377	1623.99	1502.12
Rv3656c	Rv3656c	hypothetical protein	hypoxia_late:25%; ctl_stationary:11%	0.1603	0.878808977444445	621.28	499	503	482	724	961	62.47	55.94
fadE16	Rv1679	acyl-CoA dehydrogenase FadE16	high_iron:10%	0.1284	0.679209461188027	590.48	632	676	650	544	464	190.91	175.27
trpD	Rv2192c	anthranilate phosphoribosyltransferase	microaerophilic:28%; hypoxia_late:12%	0.1175	0.568226524937832	586.72	675	740	591	503	449	195.83	181.14
Rv2690c	Rv2690c	integral membrane protein	PBS_RIF_DDmtb:20%; ctl_stationary:12%; hypoxia_late:10%	0.1327	0.669753267152388	604.46	545	670	688	583	544	51.18	46.73
PE_PGRS11	Rv0754	PE-PGRS family protein PE_PGRS11	microaerophilic:26%; hypoxia_fatty_acids:19%; ctl_stationary:15%; hypoxia_late:11%	0.1512	0.880003841456447	595.04	625	557	585	576	634	20.44	18.37
cobT	Rv2207	nicotinate-nucleotide-dimethylbenzimidazol phosphoribosyltransferase	hypoxia_late:16%	0.1228	0.628633122241762	592.33	657	708	692	531	404	256.98	236.77
rplF	Rv0719	50S ribosomal protein L6	high_iron:9%	0.1241	0.640762426885347	592.88	652	709	645	579	405	1384.79	1275.73
Rv3798	Rv3798	insertion sequence element IS1557 transposase	hypoxia_late:10%	0.1225	0.606228155196545	596.33	623	723	667	568	424	267.98	247.09
MT0204.1	MT0204.1	hypothetical protein	hypoxia_late:30%; ctl_stationary:19%; human_sputum:12%; PBS_RIF_DDmtb:12%	0.2897	0.997485242090736	597.75	725	171	174	1124	1262	3.88	2.64
Rv3430c	Rv3430c	transposase	hypoxia_late:10%	0.1306	0.697479817484202	594.07	630	669	654	567	463	269.6	247.2
adhB	Rv0761c	alcohol dehydrogenase B	ctl_exponential:11%	0.1451	0.817056138782094	602.66	607	589	728	627	476	338.19	306.67
MT0291.4	MT0291.4	hypothetical protein	microaerophilic:42%; hypoxia_late:13%	0.1477	0.83507833032269	605.88	694	653	703	561	440	122.6	110.93
fabD	Rv2243	malonyl CoA-acyl carrier protein transacylase	low_iron:10%	0.1428	0.81018855925347	602.21	620	597	705	626	475	563.18	511.74
dnaZX	Rv3721c	DNA polymerase III subunit gamma/tau	zinc_limitation:10%	0.1137	0.551090795084815	591.77	689	755	630	527	394	180.47	167.35
mog	Rv0865	molybdopterin biosynthesis protein	microaerophilic:32%	0.1266	0.675864939844811	599.53	643	689	652	538	488	425.54	391.32
Rv2420c	Rv2420c	hypothetical protein	hypoxia_late:9%	0.1398	0.804236128893719	600.65	552	548	588	631	690	128.36	116.61
nusB	Rv2533c	N utilization substance protein B	hypoxia_rar:8%	0.1241	0.65920828707228	601.41	653	715	643	551	462	545.97	503.01
Rv1313c	Rv1313c	insertion sequence element IS1557 transposase	hypoxia_late:10%	0.1216	0.615785216357881	604.46	628	728	681	574	434	270.88	249.92
ppa	Rv3628	inorganic pyrophosphatase	tyloxopol:12%	0.1575	0.89775974174911	623.01	535	511	675	708	701	99.16	88.87
Rv2917	Rv2917	hypothetical protein	hypoxia_late:25%; PBS_RIF_DDmtb:11%	0.1406	0.803434833955039	609.38	550	591	599	587	727	18.21	16.46
Rv0565c	Rv0565c	monooxygenase	ctl_stationary:13%; hypoxia_late:13%; PBS_RIF_DDmtb:11%	0.1352	0.754969046600914	607.99	548	614	581	603	699	29.43	26.77
Rv1227c	Rv1227c	transmembrane protein	PBS_RIF_DDmtb:22%; microaerophilic:14%; hypoxia_late:11%	0.1336	0.752612338659801	606.72	542	583	590	629	695	98.01	89.47
pdc	Rv0853c	alpha-keto-acid decarboxylase	hypoxia_late:13%	0.1448	0.849549803720758	606.06	690	613	649	571	515	58.66	53.12
pks12	Rv2048c	polyketide synthase	hypoxia_late:11%	0.1369	0.779485396594186	624.07	582	677	662	633	570	292.44	266.84
trxB2	Rv3913	thioredoxin reductase	zinc_limitation:12%	0.1403	0.852395088555701	606.09	661	560	628	602	582	77.13	70.03
fadD24	Rv1529	fatty-acid--CoA ligase FadD24	ctl_stationary:12%; hypoxia_late:11%	0.1383	0.81839634504308	620.86	576	605	657	621	647	31.46	28.55
bioB	Rv1589	biotin synthetase	zinc_limitation:13%	0.1259	0.722113354939535	617.98	683	699	722	550	458	214.15	196.84
Rv0804	Rv0804	hypothetical protein	hypoxia_late:20%	0.1348	0.797505809327236	622.17	656	656	672	592	540	187.93	171.79
mazF4	Rv1495	mRNA interferase MazF4	hypoxia_late:13%	0.155	0.925119715442635	627.42	626	526	543	666	794	80.14	71.97
PPE9	Rv0388c	PPE family protein	hypoxia_late:38%	0.1563	0.931712149185034	630.55	619	522	547	685	799	41.26	36.95
miaA	Rv2727c	tRNA delta(2)-isopentenylpyrophosphate transferase	microaerophilic:23%; hypoxia_late:17%	0.1257	0.736528068618088	615.53	596	664	620	591	608	82.19	75.52
cpsA	Rv3484	hypothetical protein	human_sputum:11%	0.1157	0.614228104195755	619.03	679	762	674	562	444	195.27	180.86
infB	Rv2839c	translation initiation factor IF-2	PBS_RIF_DDmtb:15%	0.1318	0.769671458393167	629.57	645	694	665	639	513	659.62	604.28
hisF	Rv1605	imidazole glycerol phosphate synthase subunit HisF	microaerophilic:42%	0.1223	0.673780645835476	631.78	615	738	690	618	510	353.37	325.9
Rv0571c	Rv0571c	hypothetical protein	ctl_stationary:21%; hypoxia_late:15%	0.1288	0.775879402476068	625.12	584	657	558	613	720	36.12	33.06
thrC	Rv1295	threonine synthase	high_iron:9%	0.1322	0.786496687246008	644.7	602	700	719	678	534	460.54	421.79
gltD	Rv3858c	glutamate synthase small subunit	zinc_limitation:12%	0.1117	0.60761539188239	625.09	707	786	661	599	408	353.11	328.03
hemE	Rv2678c	uroporphyrinogen decarboxylase	hypoxia_late:9%	0.1192	0.6683493151003	637.32	659	764	685	589	505	256.44	236.99
MT2015.1	MT2015.1	hypothetical protein	hypoxia_late:20%; ctl_stationary:18%; hypoxia_fatty_acids:10%; PBS_RIF_DDmtb:10%	0.213	0.986328945671289	692.56	572	471	586	867	1044	7.82	6.51
Rv1371	Rv1371	membrane protein	hypoxia_late:50%; ctl_stationary:16%	0.2132	0.985324565280365	711.2	644	612	612	760	956	1.52	1.13
aroF	Rv2540c	chorismate synthase	microaerophilic:26%	0.1375	0.889335509595816	622.91	840	692	670	559	399	572.32	522.28
Rv3845	Rv3845	hypothetical protein	hypoxia_late:25%	0.1533	0.945417137005928	645.81	704	567	577	637	754	72.53	65.4
aroK	Rv2539c	shikimate kinase	microaerophilic:26%	0.143	0.906295124870412	629.54	825	682	648	547	474	352.62	320.49
Rv1749c	Rv1749c	integral membrane protein	ctl_exponential:9%	0.1277	0.772412657507238	656.83	561	680	699	673	676	129	118.3
Rv3672c	Rv3672c	hypothetical protein	zinc_limitation:10%	0.1222	0.739578125980994	647.35	687	748	697	600	518	268.02	247.2
Rv1084	Rv1084	hypothetical protein	hypoxia_late:16%; microaerophilic:16%	0.1218	0.751776336247653	646.44	736	749	716	572	482	117.61	108.41
Rv1135A	Rv1135A	acetyl-CoA acetyltransferase	PBS_RIF_DDmtb:39%; hypoxia_late:27%; ctl_stationary:11%	0.2441	0.998065576972438	649.11	728	247	301	1074	1195	5.31	4.09
serX	Rvnt42	tRNA-Ser	hypoxia_late:32%; hypoxia_hypoxic:15%	0.2095	0.99318686527872	662.21	618	316	342	1086	1196	24.34	20.57
higA	Rv1956	antitoxin HigA	hypoxia_fatty_acids:28%	0.151	0.926086309709665	669.82	597	606	608	699	856	48.24	43.51
Rv2091c	Rv2091c	membrane protein	human_sputum:8%	0.1179	0.673369765439209	654.45	650	779	739	640	485	542.63	501.94
Rv1584c	Rv1584c	phage protein	ctl_stationary:10%; nutrient_limitation:10%	0.1288	0.827972791263458	647.48	577	607	596	674	795	186.56	171.01
fadD19	Rv3515c	long-chain-fatty-acid--CoA ligase FadD19	hypoxia_fatty_acids:41%; ctl_stationary:10%	0.1359	0.829358400366232	671.93	562	702	651	653	803	18.39	16.69
tesB1	Rv1618	acyl-CoA thioesterase TesB	tyloxopol:9%	0.1183	0.708994380663022	648.34	701	751	725	566	516	218.45	201.96
Rv1248c	Rv1248c	multifunctional 2-oxoglutarate dehydrogenase E1 component /2-oxoglutarate dehydrogenase	human_sputum:7%	0.1075	0.595882104313779	648.17	745	831	709	605	398	250.62	233.47
Rv2161c	Rv2161c	hypothetical protein	microaerophilic:23%; cholesterol:12%; acidic:11%	0.119	0.723154498222225	657.84	724	783	730	624	456	1247.56	1153.33
Rv2292c	Rv2292c	hypothetical protein	INDIGO_exponential:10%	0.14	0.909820787504308	650.65	655	556	594	661	800	140.98	128.19
mycP5	Rv1796	membrane-anchored mycosin MycP	low_iron:7%	0.113	0.676796587433125	654.07	695	780	708	641	469	568.28	527.49
Rv0653c	Rv0653c	transcriptional regulator	high_iron:13%; tyloxopol:12%	0.1328	0.869189573877572	661.89	718	673	743	642	543	235.19	215.08
Rv2553c	Rv2553c	membrane protein	microaerophilic:37%	0.1237	0.780801393711847	669.62	670	742	754	668	527	445.5	410.47
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.1371	0.904204985431969	656.36	684	598	693	648	661	44.84	40.75
ilvX	Rv3509c	acetohydroxyacid synthase large subunit	hypoxia_late:15%	0.118	0.732647432068794	656.9	698	725	777	596	507	164.04	151.56
Rv2913c	Rv2913c	D-amino acid aminohydrolase	hypoxia_fatty_acids:53%; butyrate:18%	0.1325	0.874493190916838	660.79	685	655	664	620	681	28.13	25.65
eccD1	Rv3877	ESX-1 secretion system protein EccD1	PBS_RIF_DDmtb:8%	0.1072	0.632031641091387	653.13	753	827	659	623	439	282.8	263.51
hisG	Rv2121c	ATP phosphoribosyltransferase	hypoxia_late:20%; low_iron:15%	0.1774	0.971163660403685	720.61	573	619	704	853	880	18.82	16.47
atpG	Rv1309	ATP synthase subunit gamma	ctl_exponential:12%; INDIGO_exponential:12%; tyloxopol:11%	0.1102	0.662996214265401	664.37	721	822	731	635	446	1057.59	983.59
rplU	Rv2442c	50S ribosomal protein L21	acidic:14%; hypoxia_rar:12%; hypoxia_hypoxic:12%; ctl_exponential:10%; human_sputum:10%	0.1266	0.846212908738806	656.83	740	662	772	615	512	737.34	677.4
vapB8	Rv0664	antitoxin VapB8	hypoxia_late:16%; human_sputum:11%	0.1389	0.893333028847553	680.36	567	621	611	730	897	86.81	78.95
fadB3	Rv1715	3-hydroxybutyryl-CoA dehydrogenase FadB	hypoxia_late:31%; PBS_RIF_DDmtb:10%	0.1694	0.971182564910421	694.17	744	686	671	692	679	37.55	33.42
Rv1044	Rv1044	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.1296	0.864711156445315	671.52	639	661	623	650	791	63.13	57.84
PE_PGRS51	Rv3367	PE-PGRS family protein PE_PGRS51	microaerophilic:27%; hypoxia_late:16%	0.1309	0.863975705341372	672.35	731	711	753	632	546	84.92	77.71
ccsA	Rv0529	cytochrome C-type biogenesis protein CcsA	high_iron:13%	0.1142	0.71347583968007	670.81	688	785	726	646	524	349.28	323.96
mce2A	Rv0589	Mce family protein Mce2A	microaerophilic:21%; hypoxia_fatty_acids:14%	0.1208	0.768070595804133	680.97	658	774	761	644	578	126.56	116.81
Rv1769	Rv1769	hypothetical protein	high_iron:9%	0.1202	0.778358758798167	677.94	692	768	736	669	537	286.61	264.68
Rv2850c	Rv2850c	magnesium chelatase	microaerophilic:16%; hypoxia_late:12%	0.1078	0.67018886593676	666.66	746	829	691	638	460	263.66	245.58
Rv2047c	Rv2047c	hypothetical protein	hypoxia_late:15%	0.1115	0.707304993537652	677.48	711	824	738	643	495	147.16	136.68
Rv3520c	Rv3520c	coenzyme F420-dependent oxidoreductase	zinc_limitation:10%	0.1112	0.708821220981753	673.93	705	802	733	658	493	481.72	447.71
Rv1973	Rv1973	Mce associated membrane protein	hypoxia_late:40%; ctl_stationary:12%	0.2134	0.992493856479119	737.51	637	574	655	848	1016	11.24	9.53
bpoC	Rv0554	non-heme bromoperoxidase BpoC	tyloxopol:14%	0.1271	0.838826450457413	685.21	638	714	746	683	648	117.2	107.53
Rv2733c	Rv2733c	(dimethylallyl)adenosine tRNA methylthiotransferase	hypoxia_late:10%	0.1159	0.757863009362104	677.89	729	761	787	612	520	169.28	156.67
PE21	Rv2099c	PE family protein	hypoxia_late:32%; microaerophilic:13%; ctl_stationary:12%	0.1964	0.988219033349322	736.62	667	609	545	871	1046	29.64	25.72
rplW	Rv0703	50S ribosomal protein L23	hypoxia_rar:10%	0.1065	0.664441041345675	671.56	760	837	701	636	457	1497.01	1395.87
mmpL8	Rv3823c	integral membrane transport protein MmpL8	nutrient_limitation:14%; acidic:13%; butyrate_plus_glucose:12%	0.1296	0.87932098306728	682.9	750	718	755	675	530	203.83	186.95
ctpB	Rv0103c	cation-transporter P-type ATPase B	zinc_limitation:9%	0.1064	0.668351116517691	672.02	758	841	696	617	478	144.14	134.34
hisS	Rv2580c	histidine--tRNA ligase	microaerophilic:13%	0.1147	0.73701470365656	682.83	680	791	749	667	541	262.34	243.21
phoR	Rv0758	two component system response sensor kinase PhoR	acidic_tyloxopol:8%	0.1104	0.710238631637637	681.4	735	823	724	606	538	146.14	135.86
Rv3770B	Rv3770B	transposase	zinc_limitation:43%	0.1588	0.968727211040754	702.12	647	552	644	816	877	95.14	85.14
Rv1812c	Rv1812c	dehydrogenase	microaerophilic:14%; PBS_RIF_DDmtb:12%; ctl_stationary:12%	0.1158	0.772433156134184	680.83	733	763	756	616	550	138.81	128.47
mce2D	Rv0592	Mce family protein Mce2D	hypoxia_late:26%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.1357	0.904454584735815	689.23	599	649	669	707	833	16.87	15.31
carA	Rv1383	carbamoyl-phosphate synthase small subunit	hypoxia_late:14%; zinc_limitation:13%	0.1227	0.824031117037398	690.83	631	743	686	672	725	54.3	50
fadE34	Rv3573c	acyl-CoA dehydrogenase FadE34	hypoxia_late:31%; hypoxia_fatty_acids:12%; ctl_stationary:11%	0.137	0.905751576463939	701.21	629	701	700	665	818	12.09	10.92
icl1	Rv0467	isocitrate lyase	nutrient_limitation:38%; hypoxia_fatty_acids:11%; human_sputum:11%	0.119	0.797596045042383	688.44	678	752	792	659	572	138.23	127.61
PE_PGRS46	Rv2634c	PE-PGRS family protein PE_PGRS46	hypoxia_late:43%	0.1434	0.952977895956898	680.85	765	618	732	652	643	24.86	22.44
dxr	Rv2870c	1-deoxy-D-xylulose 5-phosphate reductoisomerase	microaerophilic:12%	0.1085	0.707319361248034	681.5	730	804	752	601	539	175.12	162.93
Rv2912c	Rv2912c	TetR family HTH-type transcriptional regulator	hypoxia_fatty_acids:53%; butyrate:13%	0.1303	0.890370369536063	696.81	593	650	614	755	893	45.33	41.43
zur	Rv2359	zinc uptake regulation protein	hypoxia_fatty_acids:12%	0.1335	0.921046566147253	681.7	739	642	713	655	662	163.22	149.16
MT0130	MT0130	hypothetical protein	hypoxia_late:18%; hypoxia_hypoxic:14%; ctl_stationary:10%	0.1753	0.987567511552416	731.58	674	554	678	852	931	27.14	23.83
rpmD	Rv0722	50S ribosomal protein L30	hypoxia_rar:10%; high_iron:10%	0.1218	0.831636667938468	701.54	676	773	784	696	588	1355.29	1250.75
MT2371	MT2371	hypothetical protein	hypoxia_late:70%	0.1997	0.997820314670032	686.76	720	237	288	1278	1302	8.28	6.83
trpA	Rv1613	tryptophan synthase subunit alpha	high_iron:16%; INDIGO_exponential:14%; ctl_exponential:11%	0.1236	0.86128434752823	710.91	700	770	790	719	585	1126.07	1037.66
PE_PGRS20	Rv1068c	PE-PGRS family protein PE_PGRS20	hypoxia_late:42%	0.1432	0.942057343053054	722.42	715	729	714	693	762	24.05	21.76
Rv1339	Rv1339	hypothetical protein	hypoxia_rar:9%	0.1085	0.735668512577763	696.74	742	820	765	630	545	301.08	280.33
Rv0528	Rv0528	transmembrane protein	high_iron:13%; hypoxia_late:10%	0.138	0.928413496155975	727.41	672	712	702	664	899	408.59	372.71
Rv0037c	Rv0037c	MFS-type transporter	microaerophilic:21%	0.1066	0.733055478645199	695.27	754	828	750	604	559	149.03	138.89
serT	Rvnt44	tRNA-Ser	zinc_limitation:34%; hypoxia_late:10%; hypoxia_hypoxic:10%	0.1852	0.991840832992718	746.42	646	532	680	942	983	113.94	99.96
