GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_DMSO_RIF
plcD	Rv1755c	phospholipase C 4 plcD	hypoxia_late:30%; PBS_RIF_DDmtb:11%	0.2961	0.553468266738606	367.63	447	246	114	475	706	12.72	9.66
MT3454	MT3454	hypothetical protein	hypoxia_late:14%; ctl_stationary:11%	0.2632	0.337677498355425	390.35	323	387	403	375	471	75.66	60.73
MT0009	MT0009	hypothetical protein	ctl_stationary:12%; hypoxia_late:12%	0.5009	0.826794153693758	400.31	597	115	334	427	673	29.44	18.52
lipY	Rv3097c	triacylglycerol lipase Lip	PBS_RIF_DDmtb:20%; hypoxia_late:20%; ctl_stationary:15%	0.2703	0.353640998678783	397.24	364	438	509	329	359	31.46	25.03
Rv1856c	Rv1856c	oxidoreductase	human_sputum:9%	0.2127	0.104616976196181	384	398	570	369	371	246	546.03	458.01
cyp144	Rv1777	cytochrome P450 Cyp144	hypoxia_late:20%; ctl_stationary:14%; PBS_RIF_DDmtb:13%	0.2789	0.404202466323129	397.47	327	367	381	385	543	16.05	12.54
lppW	Rv2905	lipoprotein LppW	tyloxopol:10%	0.2322	0.159939493848692	406.44	318	579	598	372	230	562.19	464.34
serX	Rvnt42	tRNA-Ser	hypoxia_late:32%; hypoxia_hypoxic:15%	0.4949	0.84990253813825	395.11	595	76	190	515	888	36.16	22.77
mec	Rv1334	CysO-cysteine peptidase	tyloxopol:8%	0.2369	0.250226351737238	385.22	330	443	446	376	339	215.17	177.52
MT2502	MT2502	hypothetical protein	PBS_RIF_DDmtb:28%; hypoxia_late:14%	0.3899	0.80527468764062	370.14	607	93	80	599	812	24.42	17.09
Rv2067c	Rv2067c	hypothetical protein	tyloxopol:11%	0.2189	0.171614301497589	380.57	392	522	336	367	303	117.14	97.7
MT2007	MT2007	hypothetical protein	hypoxia_fatty_acids:15%; zinc_limitation:10%	0.3218	0.637002827200198	394.43	434	206	208	480	772	70.21	53.31
Rv0078B	Rv0078B	hypothetical protein	human_sputum:16%	0.2851	0.358007902429476	427.28	380	549	703	343	237	536.87	425.98
Rv2705c	Rv2705c	hypothetical protein	human_sputum:11%	0.2509	0.314656860625513	392.72	334	407	397	382	448	117.61	95.78
Rv3095	Rv3095	HTH-type transcriptional regulator	human_sputum:14%; INDIGO_exponential:10%; ctl_stationary:10%	0.2763	0.419856994250322	397.95	372	372	473	361	417	74.29	59.34
MT3847	MT3847	hypothetical protein	nutrient_limitation:61%; PBS_RIF_DDmtb:23%	0.4929	0.788278774376757	436.42	494	190	390	432	779	39.31	25.31
Rv0612	Rv0612	hypothetical protein	hypoxia_late:15%	0.3	0.451679282421422	426.26	297	400	516	433	505	34.75	27.01
Rv0078	Rv0078	transcriptional regulator	hypoxia_late:19%	0.2507	0.34308481890983	385.8	377	381	278	398	513	55.71	45.19
Rv2734	Rv2734	hypothetical protein	zinc_limitation:37%; hypoxia_late:11%	0.2255	0.2018509740057	395.86	382	525	402	360	324	129.03	107.06
Rv1948c	Rv1948c	hypothetical protein	hypoxia_late:15%	0.3461	0.64457167593889	423.46	491	363	542	325	415	57.99	43.39
MT3954	MT3954	hypothetical protein	hypoxia_late:40%; ctl_stationary:17%; PBS_RIF_DDmtb:15%	0.7829	0.938468743340202	353.73	820	6	64	524	1028	4.64	1.08
mmpL9	Rv2339	transmembrane transport protein MmpL9	human_sputum:9%	0.2289	0.16746936261957	417.51	340	612	600	349	250	97.94	80.96
PE26	Rv2519	PE family protein PE26	zinc_limitation:8%	0.2138	0.127495623737536	397.83	394	577	424	370	257	201.14	168.42
mmpS1	Rv0403c	membrane protein MmpS1	hypoxia_late:14%; ctl_stationary:10%	0.2759	0.408285124501192	413.85	302	386	463	407	529	65.92	52.56
rpsO	Rv2785c	30S ribosomal protein S15	INDIGO_exponential:10%	0.2248	0.18346979467316	405.84	368	573	477	368	275	830.02	691.04
Rv3631	Rv3631	transferase	zinc_limitation:10%; hypoxia_late:10%	0.2262	0.249565097372136	380.36	421	449	223	381	456	80.44	66.62
Rv2023A	Rv2023A	hypothetical protein	human_sputum:31%; hypoxia_late:17%	0.2701	0.398589036333646	408.35	344	370	378	426	537	58.54	46.69
Rv3353c	Rv3353c	hypothetical protein	hypoxia_late:20%; ctl_stationary:12%; hypoxia_hypoxic:12%	0.4432	0.829576150922704	416.64	599	148	281	461	739	18.3	12.03
Rv0111	Rv0111	transmembrane acyltransferase	hypoxia_late:18%; human_sputum:13%	0.2098	0.130265933523263	393.96	413	571	371	369	274	112.23	94.16
Rv2237A	Rv2237A	hypothetical protein	acidic_tyloxopol:10%	0.2569	0.298330426057806	434.32	393	560	670	351	259	569.77	461.89
Rv1273c	Rv1273c	drug ABC transporter ATP-binding protein	hypoxia_late:14%; ctl_stationary:11%	0.2341	0.254633163625164	403.38	349	505	456	374	345	44.85	36.79
Rv2980	Rv2980	hypothetical protein	hypoxia_late:32%	0.2981	0.446212760612511	443.56	386	524	689	373	296	92.69	72.5
Rv2775	Rv2775	GCN5-like N-acetyltransferase	acidic_tyloxopol:10%	0.232	0.265714853967824	398.58	384	471	337	387	420	141.81	117.09
deaD	Rv1253	ATP-dependent RNA helicase DeaD	acidic_tyloxopol:9%	0.2111	0.132951737627411	402.4	420	589	387	366	280	120.38	100.93
mazF1	Rv0456A	toxin MazF1	ctl_stationary:16%; hypoxia_late:15%; INDIGO_exponential:10%	0.3578	0.647180741832675	453.17	403	326	534	462	562	35.65	26.1
Rv0894	Rv0894	transcriptional regulator	hypoxia_late:16%; human_sputum:10%	0.2528	0.353044684343807	408.12	353	419	372	406	498	28.04	22.57
Rv3903c	Rv3903c	hypothetical protein	hypoxia_late:34%; ctl_stationary:12%	0.2389	0.288467968286351	411.72	347	498	484	352	390	20.48	16.66
Rv2970A	Rv2970A	hypothetical protein	human_sputum:17%	0.2511	0.329317363736517	420.82	326	466	490	409	423	311.36	253.53
MT3767.3	MT3767.3	hypothetical protein	hypoxia_late:23%; PBS_RIF_DDmtb:16%; ctl_stationary:14%; human_sputum:13%	0.6551	0.950535221197081	364.9	881	13	22	678	992	10.6	4.74
Rv0340	Rv0340	hypothetical protein	hypoxia_late:12%	0.2467	0.333054116523818	409.73	359	430	386	388	492	77.49	63.06
PPE22	Rv1705c	PPE family protein PPE22	hypoxia_late:27%; human_sputum:13%	0.2639	0.389685644095558	428.67	329	437	505	403	481	27.8	22.12
Rv0250c	Rv0250c	hypothetical protein	hypoxia_fatty_acids:19%; ctl_exponential:11%	0.2862	0.468337643778379	445.55	419	510	749	355	265	324.29	257.24
MT1479.1	MT1479.1	hypothetical protein	ctl_exponential:17%; hypoxia_hypoxic:12%	0.2378	0.268065528334208	435.41	328	563	592	401	329	528.56	434.44
Rv0076c	Rv0076c	membrane protein	acidic_tyloxopol:12%	0.2893	0.424854679332329	460.85	348	545	781	411	293	202.05	159.5
mmpS5	Rv0677c	membrane protein MmpS5	microaerophilic:31%; ctl_stationary:14%; hypoxia_fatty_acids:10%	0.2206	0.232441491720662	413.82	397	532	414	390	347	250.67	208.94
fadB2	Rv0468	3-hydroxybutyryl-CoA dehydrogenase	nutrient_limitation:29%	0.206	0.177029061962426	398.94	445	562	303	392	319	200.88	169.23
Rv2435c	Rv2435c	cyclase	hypoxia_late:20%; human_sputum:12%	0.2139	0.218717810386758	405.17	426	544	328	384	360	46.92	39.16
Rv1105	Rv1105	para-nitrobenzyl esterase	hypoxia_late:15%; human_sputum:12%; PBS_RIF_DDmtb:10%	0.3345	0.742148421247029	414.86	538	192	183	552	771	13.45	9.8
narS	Rv0845	sensor histidine kinase NarS	hypoxia_late:13%	0.2345	0.302894734907564	419.83	374	493	416	391	430	44.76	36.72
metV	Rvnt24	tRNA-Met	tyloxopol:21%; hypoxia_late:12%	0.3618	0.772599837310398	435.93	484	187	269	547	837	64.4	47.03
pth	Rv1014c	peptidyl-tRNA hydrolase	acidic_tyloxopol:11%; hypoxia_late:11%	0.2239	0.28049147902006	404.81	408	478	293	417	441	117.34	97.37
Rv2165c	Rv2165c	rRNA small subunit methyltransferase H	microaerophilic:16%	0.2027	0.140596184039089	408.41	444	592	358	396	283	249.78	210.91
eccD4	Rv3448	ESX-4 secretion system protein EccD4	hypoxia_late:44%; PBS_RIF_DDmtb:17%; ctl_stationary:11%	0.3663	0.747262568998988	447.6	579	354	546	306	486	7.36	5.11
MT2514	MT2514	hypothetical protein	PBS_RIF_DDmtb:16%	0.4273	0.802888056730168	463.31	501	244	539	425	665	59.7	41.67
vapB21	Rv2758c	antitoxin VapB21	human_sputum:30%	0.2853	0.580584936345623	435.19	433	329	298	474	693	55.7	43.7
mesT	Rv3176c	epoxide hydrolase MesT	hypoxia_late:16%; PBS_RIF_DDmtb:14%; hypoxia_fatty_acids:10%	0.3476	0.712983121202416	449.93	560	385	569	335	425	16.79	12.3
Rv1632c	Rv1632c	hypothetical protein	human_sputum:14%	0.2356	0.283769018098239	441.06	343	566	573	402	350	212.11	174.73
Rv3179	Rv3179	hypothetical protein	hypoxia_late:18%; ctl_stationary:16%	0.2408	0.315187740675635	442.58	336	537	595	393	379	53.46	43.64
dprE1	Rv3790	decaprenylphosphoryl-beta-D-ribose oxidase	hypoxia_late:10%	0.2118	0.21338704517273	423.95	436	580	400	380	342	90.06	75.44
Rv3123	Rv3123	hypothetical protein	zinc_limitation:22%	0.3434	0.595879116739129	505.69	351	574	795	300	587	285.49	216.61
Rv3637	Rv3637	transposase	PBS_RIF_DDmtb:25%; hypoxia_late:24%; ctl_stationary:18%	0.477	0.890852605567406	444.16	685	157	287	448	816	6.15	3.51
vapB12	Rv1721c	antitoxin VapB12	hypoxia_late:20%	0.3709	0.728320294376606	478.02	521	424	673	377	422	77.15	56.47
Rv0519c	Rv0519c	membrane protein	hypoxia_late:16%	0.2176	0.240329501476481	437.08	388	581	483	416	337	164.4	137.33
rpsF	Rv0053	30S ribosomal protein S6	hypoxia_rar:12%; hypoxia_hypoxic:11%	0.2294	0.295883710588812	438.77	358	520	501	438	388	347.13	287.47
MT1342	MT1342	hypothetical protein	hypoxia_hypoxic:14%; INDIGO_exponential:14%	0.297	0.567734915099916	468.16	417	463	750	404	352	483.14	379.85
trpB	Rv1612	tryptophan synthase subunit beta	INDIGO_exponential:15%; high_iron:13%	0.2099	0.220497347452492	431.39	406	541	486	431	311	426.18	358.97
Rv0364	Rv0364	transmembrane protein	zinc_limitation:12%; tyloxopol:11%	0.2048	0.201987734459623	434.59	467	616	391	399	326	244.49	206.12
ileT	Rvnt01	tRNA-Ile	zinc_limitation:14%; human_sputum:14%	0.3222	0.78323384510619	420.79	588	165	95	644	921	73.46	55.49
Rv0634A	Rv0634A	hypothetical protein	ctl_exponential:18%; acidic:10%	0.2402	0.306519755179703	466.79	405	610	710	410	266	1059.86	870.11
Rv2576c	Rv2576c	membrane protein	tyloxopol:12%	0.3032	0.564885800128121	488.16	418	554	728	282	516	1060.52	831.3
Rv1373	Rv1373	glycolipid sulfotransferase	ctl_stationary:11%	0.2446	0.411479705234358	443.57	389	429	409	442	558	33.66	27.27
MT3580.1	MT3580.1	hypothetical protein	hypoxia_late:14%	0.395	0.866938560711254	448.1	638	118	210	657	876	46.62	32.53
ndkA	Rv2445c	nucleoside diphosphate kinase	tyloxopol:9%	0.2152	0.222503003672935	451.22	399	613	556	421	302	434.4	363.15
lprE	Rv1252c	lipoprotein LprE	hypoxia_late:13%; tyloxopol:11%	0.213	0.289723535078147	421.84	469	515	225	445	495	110.37	92.34
kdtB	Rv2965c	phosphopantetheine adenylyltransferase	hypoxia_late:11%	0.2457	0.387645882925076	451.81	415	509	576	414	361	153.52	125.26
cpsA	Rv3484	hypothetical protein	human_sputum:11%	0.2003	0.173595401001889	438.95	464	621	420	423	297	193.74	163.87
Rv3594	Rv3594	hypothetical protein	PBS_RIF_DDmtb:12%; hypoxia_late:11%	0.2274	0.291172092492743	449.24	373	543	538	420	387	109.7	90.71
pyrG	Rv1699	CTP synthase	hypoxia_hypoxic:8%	0.2026	0.205566623031527	442.73	448	593	452	430	313	168.11	142.05
Rv3098A	Rv3098A	PemK-like protein	ctl_stationary:12%	0.2296	0.299465736546628	459.27	376	572	554	429	384	281.2	232.59
ppsA	Rv2931	phthiocerol synthesis polyketide synthase type I PpsA	zinc_limitation:16%; hypoxia_rar:12%; human_sputum:10%	0.1991	0.197604047767378	440.95	451	596	418	457	307	273.03	231.55
Rv3639c	Rv3639c	hypothetical protein	hypoxia_late:28%; PBS_RIF_DDmtb:15%; ctl_stationary:10%	0.3588	0.756476361301592	481.92	498	319	557	428	640	16.78	12.04
MT3846	MT3846	hypothetical protein	nutrient_limitation:59%; PBS_RIF_DDmtb:24%	0.3228	0.767060783576904	448.3	546	219	203	609	828	69.77	52.88
vapC39	Rv2530c	ribonuclease VapC39	INDIGO_exponential:12%	0.2321	0.350838861531099	450.35	362	479	508	470	440	163.43	135.1
vapC42	Rv2759c	ribonuclease VapC42	hypoxia_late:15%	0.2447	0.412422633903742	454.22	385	452	428	477	536	94.88	77.37
Rv2466c	Rv2466c	hypothetical protein	hypoxia_fatty_acids:20%; ctl_stationary:11%; zinc_limitation:10%; PBS_RIF_DDmtb:10%; microaerophilic:10%	0.2312	0.357109009352909	446.62	427	491	385	439	496	75.68	62.41
MT3024	MT3024	hypothetical protein	hypoxia_late:11%; INDIGO_exponential:11%	0.2721	0.594498623880118	458.56	439	378	401	481	611	70.62	56.21
echA6	Rv0905	enoyl-CoA hydratase EchA6	zinc_limitation:22%	0.2108	0.207443909718071	467.57	414	658	593	424	295	453.21	380.51
Rv3679	Rv3679	anion transporter ATPase	acidic_tyloxopol:11%	0.211	0.197342897689466	471.93	407	675	633	437	269	655.83	550.3
MT3378	MT3378	hypothetical protein	INDIGO_exponential:12%; tyloxopol:12%	0.3563	0.836333383283027	461.25	612	189	272	565	820	53.18	38.96
Rv0273c	Rv0273c	transcriptional regulator	ctl_stationary:12%; hypoxia_late:10%	0.2607	0.450186473388443	474.85	416	526	690	408	367	97.49	78.64
Rv0466	Rv0466	hypothetical protein	hypoxia_rar:10%	0.2063	0.203873236216115	461.64	424	636	531	453	299	430.6	362.57
PPE67	Rv3739c	PPE family protein PPE67	nutrient_limitation:39%; PBS_RIF_DDmtb:24%	0.2671	0.626310642937676	446.07	505	327	199	574	728	65.02	51.92
vapB20	Rv2550c	antitoxin VapB20	PBS_RIF_DDmtb:12%	0.2873	0.625492006498664	474.43	492	427	629	434	406	171.57	135.56
sigM	Rv3911	ECF RNA polymerase sigma factor SigM	hypoxia_late:11%	0.2435	0.375533758960135	471.59	357	550	548	460	457	78.93	64.48
rbsK	Rv2436	ribokinase RbsK	hypoxia_late:24%	0.2563	0.431709540833027	477.96	366	506	678	459	409	72.72	58.71
moeY	Rv1355c	molybdopterin biosynthesis protein MoeY	hypoxia_late:15%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	0.2374	0.362324438440648	471	379	548	563	412	467	21.2	17.2
modB	Rv1858	molybdenum ABC transporter permease ModB	low_iron:11%	0.2339	0.377941150150542	467.32	381	513	478	463	508	64.32	52.89
rpmH	Rv3924c	50S ribosomal protein L34	INDIGO_exponential:10%	0.2122	0.247296185304119	469.2	409	619	582	435	332	1189.54	996.66
MT1556.1	MT1556.1	hypothetical protein	human_sputum:15%; ctl_stationary:13%; INDIGO_exponential:10%	0.3931	0.870214806227883	474.73	634	169	311	605	814	39.51	27.78
arsA	Rv2684	arsenic-transport integral membrane protein ArsA	zinc_limitation:10%	0.2092	0.261110712568779	455.68	452	607	423	419	392	89.04	74.73
MT2518.1	MT2518.1	hypothetical protein	human_sputum:12%; PBS_RIF_DDmtb:11%	0.3428	0.766552419073897	488.72	509	316	612	449	589	52.44	39.22
MT0991	MT0991	hypothetical protein	hypoxia_late:24%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.4756	0.961832962397319	436.92	827	50	69	717	1129	12.75	7.5
Rv1057	Rv1057	hypothetical protein	nutrient_limitation:32%; hypoxia_rar:15%	0.2175	0.313762825892901	464.51	410	565	492	446	418	81.77	68.26
PPE34	Rv1917c	PPE family protein PPE34	hypoxia_late:32%; ctl_stationary:13%; human_sputum:12%	0.2545	0.439949775256388	504.68	429	653	808	379	330	12.17	9.67
Rv1500	Rv1500	glycosyltransferase	hypoxia_late:13%; human_sputum:12%	0.206	0.302385121443225	450.89	497	582	268	469	472	77.15	64.86
secE1	Rv0638	preprotein translocase SecE	zinc_limitation:10%	0.1968	0.179511022648476	474.36	462	668	528	476	281	1383.41	1172.94
MT2068	MT2068	hypothetical protein	hypoxia_fatty_acids:15%	0.382	0.834068979622839	516.29	552	297	634	466	682	30.83	21.97
Rv3845	Rv3845	hypothetical protein	hypoxia_late:25%	0.255	0.585588251355497	469.29	456	391	351	519	659	54.44	43.98
mazE2	Rv0660c	antitoxin MazE2	human_sputum:18%	0.2909	0.60842581085345	522.86	440	590	762	322	553	2074.35	1640.65
Rv3351c	Rv3351c	hypothetical protein	hypoxia_late:31%; human_sputum:16%; ctl_stationary:12%	0.352	0.792376899854613	516.31	549	409	630	418	596	12.32	8.92
lpqX	Rv1228	lipoprotein LpqX	PBS_RIF_DDmtb:13%	0.2093	0.324333364438169	455.12	472	538	339	473	466	150.57	126.53
Rv2735c	Rv2735c	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:13%; zinc_limitation:13%	0.2312	0.380245765459237	478.73	402	542	515	436	506	51.45	42.38
Rv0990c	Rv0990c	hypothetical protein	ctl_stationary:22%; hypoxia_fatty_acids:18%	0.2251	0.346669784106205	478.54	395	559	521	468	458	110.14	91.15
groES	Rv3418c	chaperonin GroES	acidic_tyloxopol:12%; hypoxia_fatty_acids:12%	0.19	0.167952826171861	470.12	513	688	421	482	291	9976.54	8510.41
Rv1021	Rv1021	nucleoside triphosphate pyrophosphohydrolase	hypoxia_late:11%; zinc_limitation:10%	0.2164	0.322613427125335	477.26	437	611	470	440	439	84.87	70.83
rplI	Rv0056	50S ribosomal protein L9	zinc_limitation:16%	0.1892	0.207127707904922	462.23	522	650	363	491	322	1005.97	858.69
mazE9	Rv2801A	antitoxin MazE9	human_sputum:17%; hypoxia_late:11%; ctl_stationary:10%	0.303	0.710104536214769	510.9	460	402	605	502	601	77.96	60.46
Rv3403c	Rv3403c	hypothetical protein	low_iron:30%	0.2084	0.30197712130124	473.01	458	608	432	451	427	62.17	52.13
lppM	Rv2171	lipoprotein LppM	PBS_RIF_DDmtb:11%	0.211	0.286058754660754	484.82	430	626	543	452	391	186.21	156.09
Rv2309c	Rv2309c	integrase	tyloxopol:10%	0.2652	0.617232416196118	502.66	534	501	684	447	373	132.22	106.2
thyX	Rv2754c	thymidylate synthase ThyX	hypoxia_late:28%	0.2855	0.654306413687182	517.63	486	486	638	450	538	30.01	23.42
glbO	Rv2470	hemoglobin GlbO	INDIGO_exponential:9%	0.2105	0.319760019942382	475.51	454	585	430	464	452	248.34	208.53
Rv1949c	Rv1949c	conserved hypothetical protein	hypoxia_late:26%; ctl_stationary:14%	0.2504	0.559811119467896	491.45	442	445	450	483	652	21.73	17.44
MT3362	MT3362	hypothetical protein	hypoxia_late:32%	0.4524	0.957622848655478	469.81	834	86	152	757	923	17.21	10.9
Rv2655c	Rv2655c	prophage protein	hypoxia_late:12%; hypoxia_hypoxic:11%	0.2199	0.351445014649818	499.47	411	614	588	467	434	53.23	44.17
Rv3277	Rv3277	transmembrane protein	tyloxopol:11%; human_sputum:10%	0.2311	0.331389722096448	530.29	352	757	837	486	320	268.77	221.69
purC	Rv0780	phosphoribosylaminoimidazole-succinocarboxamide synthase	hypoxia_late:10%	0.2218	0.396760412026177	493.28	396	535	547	493	503	75.98	63.11
mazF8	Rv2274c	toxin MazF8	hypoxia_late:16%	0.4258	0.899167261626352	531.11	672	373	788	363	523	26.39	18.01
dppA	Rv3666c	dipeptide ABC transporter substrate-binding lipoprotein DppA	hypoxia_late:12%; PBS_RIF_DDmtb:10%	0.2432	0.466877801338661	522.85	450	642	778	444	354	53.49	43.58
ltp3	Rv3523	lipid carrier protein	cholesterol:10%; nutrient_limitation:10%	0.201	0.283801083548528	487.63	483	649	468	458	397	119.03	100.44
mazF2	Rv0659c	toxin MazF2	human_sputum:11%	0.2281	0.369222875164216	517.76	475	683	754	456	290	1236.99	1024.52
Rv0309	Rv0309	hypothetical protein	tyloxopol:12%	0.2531	0.545064769822673	526.59	568	652	833	413	262	669.46	544.17
Rv0448c	Rv0448c	hypothetical protein	PBS_RIF_DDmtb:28%; human_sputum:12%	0.2288	0.48953392329639	483.49	466	476	357	510	628	50.35	41.44
sapM	Rv3310	acid phosphatase	tyloxopol:10%	0.1989	0.279948774149779	485.61	480	635	502	465	365	236.58	200.49
MT1936	MT1936	hypothetical protein	butyrate_plus_glucose:9%	0.2083	0.307540333255481	504.55	453	655	575	455	405	134.99	113.52
moaB3	Rv3324A	pterin-4-alpha-carbinolamine dehydratase moaB3	human_sputum:28%; hypoxia_late:11%	0.4518	0.951854688226552	499.49	793	89	234	712	1035	20.58	13.02
cmaA1	Rv3392c	cyclopropane mycolic acid synthase CmaA	hypoxia_late:12%; tyloxopol:10%	0.2147	0.428909353592754	481.92	478	519	370	489	565	57.08	47.62
Rv3195	Rv3195	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:15%; nutrient_limitation:12%; ctl_stationary:10%	0.2691	0.683454668102968	513.54	516	431	709	441	493	23.87	18.96
embB	Rv3795	arabinosyltransferase B	tyloxopol:11%; high_iron:11%; butyrate_plus_glucose:10%	0.1899	0.200887792659514	509.62	514	735	552	504	294	235.44	200.48
Rv2891	Rv2891	hypothetical protein	hypoxia_late:54%; PBS_RIF_DDmtb:10%	0.3109	0.817326334832667	524.01	615	358	447	503	738	11.82	8.83
vapB31	Rv0748	antitoxin VapB31	human_sputum:11%	0.2145	0.330485359066049	527.49	425	692	700	479	383	516.08	431.55
upp	Rv3309c	uracil phosphoribosyltransferase	PBS_RIF_DDmtb:10%	0.2184	0.469858671416168	497.91	482	527	376	514	605	67.96	56.48
Rv0918	Rv0918	hypothetical protein	hypoxia_late:11%; hypoxia_fatty_acids:10%	0.2519	0.547305251853506	543.12	428	552	662	517	570	61.16	49.4
Rv3645	Rv3645	transmembrane protein	hypoxia_rar:10%	0.21	0.291284028849329	531.81	412	744	784	492	308	377.51	316.67
PE25	Rv2431c	PE family protein PE25	acidic:10%	0.1973	0.281920858889738	507.18	499	678	532	497	356	884.45	750.26
Rv1395	Rv1395	HTH-type transcriptional regulator	nutrient_limitation:25%; PBS_RIF_DDmtb:17%; ctl_stationary:15%	0.2362	0.430686620213333	545.13	378	672	791	494	442	62.48	51.14
panC	Rv3602c	pantothenate synthetase	hypoxia_late:10%	0.2062	0.305399193265325	526.36	449	703	666	478	374	166.81	140.23
Rv2879c	Rv2879c	conserved hypothetical protein	PBS_RIF_DDmtb:12%	0.1941	0.261502894823285	510.22	493	700	550	500	341	503.45	427.6
thiD	Rv0422c	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	low_iron:18%	0.2014	0.323989414128078	508.92	496	663	499	472	429	160.8	135.82
Rv0059	Rv0059	hypothetical protein	human_sputum:14%	0.2045	0.345495889871217	510.42	468	630	504	505	454	164.43	138.56
kdpC	Rv1031	potassium-transporting ATPase subunit C	human_sputum:14%; acidic_tyloxopol:10%; hypoxia_late:10%	0.2175	0.489374453869877	503.43	490	512	377	533	621	72.93	60.64
MT0506	MT0506	hypothetical protein	hypoxia_late:18%; microaerophilic:14%; ctl_stationary:12%	0.3849	0.967221175956544	477.84	895	75	77	830	1098	23.74	16.26
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.2003	0.314882704806139	513.06	495	667	535	471	414	93.47	78.87
Rv0890c	Rv0890c	HTH-type transcriptional regulator	hypoxia_late:12%	0.1834	0.234650530344845	498.73	551	729	427	495	334	128.84	110.19
whiB2	Rv3260c	transcriptional regulator WhiB2	tyloxopol:12%; low_iron:10%	0.1959	0.251834199232394	526.67	479	728	643	511	321	1588.42	1347.13
Rv2598	Rv2598	hypothetical protein	hypoxia_late:28%; PBS_RIF_DDmtb:11%	0.2479	0.622571907402597	531.23	476	460	431	544	778	41.28	33.31
parE1	Rv1959c	toxin ParE1	hypoxia_fatty_acids:24%; ctl_stationary:11%	0.2316	0.543059011543241	532.66	463	528	493	555	632	112.81	92.87
MT0291.2	MT0291.2	hypothetical protein	microaerophilic:43%; hypoxia_late:16%; ctl_stationary:11%	0.4007	0.974488326544353	499.4	882	90	98	857	1114	17.28	11.44
Rv3471c	Rv3471c	hypothetical protein	hypoxia_late:30%; ctl_stationary:17%; PBS_RIF_DDmtb:13%	0.3598	0.928626596632195	529.63	778	207	344	614	868	7.76	5.28
MT1172.1	MT1172.1	hypothetical protein	PBS_RIF_DDmtb:10%	0.2662	0.692753612700705	549.16	519	483	650	512	590	96.37	77.09
ugpB	Rv2833c	sn-glycerol-3-phosphate ABC transporter substrate-binding lipoprotein UgpB	PBS_RIF_DDmtb:30%; hypoxia_late:27%	0.2441	0.607690277598111	541.22	474	504	562	527	647	15.38	12.33
Rv0183	Rv0183	lysophospholipase	PBS_RIF_DDmtb:13%	0.2074	0.321382083250943	546.55	435	743	768	501	349	267.74	224.91
MT1086	MT1086	hypothetical protein	hypoxia_late:22%; zinc_limitation:22%	0.3417	0.863737237920313	563.65	618	333	601	542	773	40.96	30.26
Rv3577	Rv3577	hypothetical protein	PBS_RIF_DDmtb:15%; hypoxia_late:11%	0.2054	0.436778374399632	507.41	518	584	354	521	579	66.75	56.02
MTS0824	MTS0824	small intergenic RNA	human_sputum:12%	0.1974	0.376412256996772	504.77	528	620	362	520	512	300.5	254.64
Rv0133	Rv0133	GCN5-like N-acetyltransferase	zinc_limitation:11%	0.1871	0.312964843538391	508.55	547	682	413	499	424	273.5	233.39
dnaE1	Rv1547	DNA polymerase III subunit alpha	zinc_limitation:13%	0.1763	0.214931744116846	519.65	591	760	405	587	315	258.68	222.59
Rv3104c	Rv3104c	transmembrane protein	zinc_limitation:10%	0.1846	0.275190582839501	518.54	542	726	480	526	353	319.89	273.51
rplJ	Rv0651	50S ribosomal protein L10	high_iron:13%; tyloxopol:12%; hypoxia_rar:12%	0.2019	0.35188571120743	535.55	459	661	597	529	447	247.85	209.08
def	Rv0429c	polypeptide deformylase	hypoxia_late:10%; human_sputum:10%	0.2201	0.485673770872344	543.1	500	634	655	496	446	152.19	126.8
Rv0836c	Rv0836c	hypothetical protein	hypoxia_late:23%; ctl_stationary:14%; hypoxia_fatty_acids:14%	0.2779	0.729876942851389	567.67	511	489	716	541	595	30.18	23.7
Rv2282c	Rv2282c	LysR family HTH-type transcriptional regulator	hypoxia_late:26%; ctl_stationary:12%	0.2692	0.73712597027209	553.57	543	484	628	484	639	19.9	15.69
Rv2016	Rv2016	hypothetical protein	zinc_limitation:19%; hypoxia_fatty_acids:19%	0.2327	0.565976432541879	553.27	455	547	551	562	661	54.26	44.52
Rv3629c	Rv3629c	integral membrane protein	human_sputum:10%	0.1974	0.375701448909052	526.49	510	643	479	536	473	100.94	85.41
vapB27	Rv0599c	antitoxin VapB27	tyloxopol:10%	0.2178	0.491586120410385	542.61	471	586	510	540	612	210.41	175.42
Rv0394c	Rv0394c	hypothetical protein	human_sputum:11%	0.1975	0.398645416258633	524.53	523	631	433	528	517	123.15	104.15
rplN	Rv0714	50S ribosomal protein L14	hypoxia_rar:10%	0.1852	0.313714909670946	522.99	545	679	459	559	395	762.54	652.71
