GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	EV_ATC_RIF	EV_ATC_noDrug
Rv2036	Rv2036	hypothetical protein	hypoxia_fatty_acids:47%	0.1828	0.770132212829483	483.31	453	518	310	536	631	65.09	56.73
Rv3642c	Rv3642c	hypothetical protein	human_sputum:17%	0.2205	0.878286039580756	514.72	455	550	577	468	529	165.21	140.11
Rv2013	Rv2013	transposase	hypoxia_late:48%	0.2209	0.919326203239432	492.43	514	338	226	687	821	25.3	21.2
Rv2237A	Rv2237A	hypothetical protein	acidic_tyloxopol:10%	0.2114	0.867478358813177	514.05	522	651	733	396	325	569.77	487.67
mpr17	Rvnc0017	fragment of putative small regulatory RNA	high_iron:10%	0.2519	0.944755457828148	516.89	477	407	628	486	603	184.43	153.75
PE_PGRS59	Rv3595c	PE-PGRS family protein PE_PGRS59	hypoxia_late:15%	0.1621	0.657797033726447	478.89	481	635	368	496	434	120.34	106.54
PPE32	Rv1808	PPE family protein PPE32	acidic:31%; acidic_tyloxopol:11%	0.1815	0.70442323302863	506.52	387	625	545	513	478	75.85	65.93
MT3042	MT3042	hypothetical protein	hypoxia_late:10%	0.263	0.960511995178983	509.2	530	395	549	447	643	54.56	45.04
prpD	Rv1130	methylcitrate dehydratase PrpD	hypoxia_fatty_acids:21%; PBS_RIF_DDmtb:20%; human_sputum:17%; nutrient_limitation:12%; acidic_tyloxopol:11%	0.2874	0.973543477037413	517.35	632	524	635	362	461	7.65	5.91
Rv1670	Rv1670	hypothetical protein	cholesterol:14%; ctl_stationary:10%; hypoxia_fatty_acids:10%	0.2335	0.94083733133585	497.93	559	430	446	479	585	63.68	53.32
MT2370.1	MT2370.1	hypothetical protein	hypoxia_late:42%; ctl_stationary:14%	0.6859	0.998516221925144	501.92	890	89	201	702	1029	7.87	3
MT2627.1	MT2627.1	hypothetical protein	PBS_RIF_DDmtb:20%; ctl_stationary:12%	0.3114	0.980317847783367	533.79	599	346	441	630	694	32.22	24.87
MT3573.16	MT3573.16	hypothetical protein	hypoxia_late:49%	0.5138	0.997739928601504	511.27	867	83	188	901	947	10.07	5.39
cysW	Rv2398c	sulfate ABC transporter permease CysW	nutrient_limitation:23%; PBS_RIF_DDmtb:21%	0.1744	0.743870539119068	490.98	461	572	329	551	566	75.99	66.59
leuU	Rvnt22	tRNA-Leu	hypoxia_late:34%	0.5729	0.998603380267436	496.74	888	44	82	1113	1062	7.93	3.63
cydB	Rv1622c	cytochrome D ubiquinol oxidase subunit II CydB	hypoxia_fatty_acids:10%	0.1742	0.683396340374045	508.37	433	686	548	482	415	134.63	118.25
lsr2	Rv3597c	iron-regulated H-NS-like protein	hypoxia_hypoxic:17%	0.2059	0.845739846614448	540.53	495	733	825	436	300	2161.69	1857.18
lpqM	Rv0419	lipoprotein peptidase LpqM	zinc_limitation:8%	0.1535	0.590452575986582	478.1	499	666	385	521	351	335.84	299.27
vapC16	Rv2231A	ribonuclease VapC16	ctl_stationary:14%; hypoxia_late:14%	0.29	0.966990421354434	558.83	576	629	718	413	484	40.62	32.44
sirR	Rv2788	transcriptional repressor SirR	hypoxia_late:8%	0.1652	0.668071722954117	499.75	473	673	483	480	408	233.95	206.89
PPE42	Rv2608	PPE family protein PPE42	hypoxia_late:18%	0.1817	0.697324219524	533.29	432	761	662	475	383	84.92	73.97
pks11	Rv1665	chalcone synthase	hypoxia_late:11%	0.1672	0.637615694671714	512.18	457	736	580	464	362	208.67	184.09
Rv2695	Rv2695	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:14%	0.2336	0.911313894679998	544.27	442	584	792	498	441	62.96	52.86
MT1742	MT1742	hypothetical protein	tyloxopol:11%; INDIGO_exponential:11%	0.2246	0.906295210098955	535.94	431	496	653	514	600	117.33	99.52
lprL	Rv0593	Mce family lipoprotein LprL	hypoxia_late:21%; PBS_RIF_DDmtb:10%	0.2037	0.872001554621369	517.66	447	532	513	543	557	31.89	27.13
Rv3680	Rv3680	anion transporter ATPase	acidic_tyloxopol:9%	0.1551	0.584199715265636	498.05	507	717	466	508	330	824.3	734.23
Rv1460	Rv1460	transcriptional regulator	low_iron:35%; hypoxia_fatty_acids:14%	0.1837	0.804582206128131	516.67	496	652	579	467	407	149.68	130.23
mazF7	Rv2063A	mRNA interferase MazF7	hypoxia_late:29%	0.2071	0.889954979277007	518.21	488	507	409	533	671	61.65	52.72
Rv0950c	Rv0950c	hypothetical protein	zinc_limitation:14%	0.1608	0.651318091136905	504.79	467	685	489	507	397	243.1	215.18
ctpJ	Rv3743c	cation transporter ATPase J	cholesterol:18%; hypoxia_late:17%; hypoxia_fatty_acids:16%; PBS_RIF_DDmtb:11%	0.2414	0.939379121873231	544.71	561	630	745	399	426	15.88	13.1
Rv2489c	Rv2489c	hypothetical protein	hypoxia_late:18%; ctl_stationary:14%	0.3181	0.987714768791559	546.46	602	249	435	719	835	16.36	12.27
Rv3175	Rv3175	amidase	hypoxia_late:17%; butyrate:14%	0.1683	0.730761379988523	500.89	446	596	408	542	524	63.26	55.56
Rv1954c	Rv1954c	hypothetical protein	microaerophilic:28%; hypoxia_fatty_acids:26%; ctl_stationary:14%	0.1708	0.735181260440728	506.3	439	609	503	509	479	187.04	165.06
vapC12	Rv1720c	ribonuclease VapC12	hypoxia_late:21%; ctl_stationary:10%	0.2351	0.952420920045567	517.43	538	324	309	666	850	27.89	23.11
pyrR	Rv1379	bifunctional pyrimidine operon regulatory protein/uracil phosphoribosyltransferase	zinc_limitation:10%	0.1806	0.765059184269685	519.31	504	718	596	443	370	266.65	232.95
Rv3060c	Rv3060c	GntR family transcriptional regulator	hypoxia_fatty_acids:12%	0.1634	0.675026006380413	512.77	484	712	482	488	420	107.96	95.46
MT1070.1	MT1070.1	hypothetical protein	PBS_RIF_DDmtb:13%; ctl_stationary:12%	0.2496	0.962951558134967	531.98	566	363	314	634	875	36.26	29.75
Rv1194c	Rv1194c	hypothetical protein	low_iron:10%	0.1959	0.858316691699964	539.64	548	708	764	441	306	371.76	321.4
Rv3520c	Rv3520c	coenzyme F420-dependent oxidoreductase	zinc_limitation:10%	0.1549	0.632080304359411	501.84	492	694	456	535	361	425.68	378.81
MT2502	MT2502	hypothetical protein	PBS_RIF_DDmtb:28%; hypoxia_late:14%	0.2651	0.981774257848006	508.13	642	190	155	872	999	24.42	19.47
MT1839.1	MT1839.1	hypothetical protein	hypoxia_late:25%; acidic_tyloxopol:11%; hypoxia_rar:10%	0.5107	0.997778313441246	548.98	756	115	488	779	837	10.51	5.96
PE21	Rv2099c	PE family protein	hypoxia_late:32%; microaerophilic:13%; ctl_stationary:12%	0.3905	0.995103954269686	560.59	742	362	388	592	789	30.37	21.68
Rv1590	Rv1590	hypothetical protein	zinc_limitation:15%	0.2146	0.923874164768179	523.11	616	641	709	385	323	557.11	474.91
Rv2102	Rv2102	hypothetical protein	human_sputum:10%	0.1617	0.671356913399735	518.08	460	695	546	511	401	327.52	289.78
Rv2324	Rv2324	AsnC family transcriptional regulator	hypoxia_fatty_acids:22%; ctl_stationary:13%; hypoxia_late:11%	0.1942	0.878617123559016	523.21	515	464	299	604	799	46.81	40.35
cyp135A1	Rv0327c	cytochrome P450 Cyp135A1	hypoxia_fatty_acids:39%; hypoxia_late:16%	0.2692	0.966785102665365	576.49	575	638	744	490	458	16.62	13.33
sigK	Rv0445c	ECF RNA polymerase sigma factor SigK	PBS_RIF_DDmtb:9%	0.2152	0.906622444132561	553.91	592	758	761	397	335	212.59	181.1
mftR	Rv0691c	mycofactocin biosynthesis transcriptional regulator MftR	ctl_stationary:10%	0.1853	0.86475753843723	517.15	551	585	625	470	375	250.62	218.82
rnhB	Rv2902c	ribonuclease HII	high_iron:9%	0.155	0.689411314097838	508.07	471	614	508	574	389	803.27	715.76
Rv0191	Rv0191	MFS-type transporter	hypoxia_late:15%	0.1785	0.805128480660042	541.1	503	693	618	494	419	113.19	98.79
Rv2418c	Rv2418c	hypothetical protein	human_sputum:9%	0.1728	0.787790764922009	523.59	517	664	516	485	448	156.02	137.29
Rv3819	Rv3819	hypothetical protein	acidic_tyloxopol:11%; tyloxopol:11%	0.2253	0.941775457225462	544.6	556	543	608	465	556	81.38	68.98
fadE32	Rv3563	acyl-CoA dehydrogenase FadE32	hypoxia_late:36%; human_sputum:15%	0.21	0.909362746964037	556.88	498	578	598	549	564	31.74	26.9
Rv3174	Rv3174	short-chain dehydrogenase/reductase	butyrate:29%; hypoxia_late:12%	0.3176	0.990243574597673	578.45	620	370	642	600	691	7.42	5.49
Rv2146c	Rv2146c	transmembrane protein	acidic:8%	0.2236	0.931468351743613	565.12	486	573	787	562	446	226.66	192.78
Rv0811c	Rv0811c	hypothetical protein	zinc_limitation:9%	0.1632	0.694710730914005	542.92	491	754	592	502	406	162.4	143.64
Rv1250	Rv1250	MFS-type drug transporter	hypoxia_late:12%	0.1784	0.813202966543031	543.73	478	657	570	552	472	57.39	50.12
tesA	Rv2928	thioesterase TesA	ctl_exponential:13%; hypoxia_late:10%; human_sputum:10%	0.2	0.884643256487451	565.93	482	667	828	541	366	223.21	192.6
Rv2647	Rv2647	hypothetical protein	hypoxia_late:18%; PBS_RIF_DDmtb:13%	0.2547	0.974658414256012	552.64	595	413	448	591	748	35.74	29.17
MT2501	MT2501	hypothetical protein	hypoxia_late:29%; PBS_RIF_DDmtb:25%	0.2961	0.990337997804776	562.1	641	281	358	765	893	17.75	13.66
Rv3008	Rv3008	hypothetical protein	ctl_stationary:8%	0.1767	0.823197075989364	542.37	464	605	591	565	494	157.93	138.21
Rv2520c	Rv2520c	membrane protein	hypoxia_late:10%	0.1766	0.848149949475199	531.65	500	500	312	640	762	154.54	135.17
ahpD	Rv2429	alkyl hydroperoxide reductase AphD	zinc_limitation:16%	0.1478	0.673815811394006	510.73	544	688	379	576	399	702.33	629.07
MT0392	MT0392	hypothetical protein	hypoxia_late:19%; tyloxopol:12%	0.2152	0.932737410651068	575.81	586	721	888	438	331	312.1	266.08
MT3297	MT3297	hypothetical protein	hypoxia_late:12%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.1829	0.861502577000627	547.51	480	540	378	593	787	150.49	131.08
AS1726	AS1726	putative small regulatory RNA	hypoxia_late:43%; ctl_stationary:12%	0.3611	0.997420703656057	562.56	823	170	258	894	955	11.59	7.93
Rv0100	Rv0100	hypothetical protein	PBS_RIF_DDmtb:18%; ctl_stationary:12%; hypoxia_fatty_acids:10%	0.2401	0.962496224338391	580.06	518	418	567	650	779	60.29	49.88
vapC4	Rv0595c	ribonuclease VapC4	PBS_RIF_DDmtb:13%; hypoxia_late:13%; ctl_stationary:10%	0.2734	0.983891130183942	579.25	625	389	404	685	861	17.84	14.17
nrdZ	Rv0570	vitamin B12-dependent ribonucleoside-diphosphate reductase	cholesterol:17%; ctl_stationary:14%; hypoxia_hypoxic:12%	0.1729	0.82207715436299	548.94	521	682	536	540	476	47.47	41.59
Rv3239c	Rv3239c	transmembrane transport protein	hypoxia_late:21%	0.1647	0.790669512608635	543.19	510	675	550	530	462	47.66	41.95
PE_PGRS8	Rv0742	hypothetical protein	hypoxia_late:38%	0.1704	0.838483670104833	542.76	525	551	306	637	749	74.88	65.77
MT3952	MT3952	hypothetical protein	hypoxia_late:22%; ctl_stationary:14%; PBS_RIF_DDmtb:11%	0.3413	0.9953249387475	591.87	787	361	450	643	785	47.62	35.74
Rv0246	Rv0246	integral membrane protein	human_sputum:12%	0.1881	0.874637530581851	570.11	505	663	791	546	387	123.13	107.11
Rv0796	Rv0796	transposase	hypoxia_late:22%; ctl_stationary:18%	0.2074	0.927040496850125	576.6	549	579	535	544	682	22.01	18.68
Rv1504c	Rv1504c	conserved hypothetical protein	hypoxia_late:16%	0.2382	0.960710739603731	589.01	472	529	854	618	508	62.91	52.9
PPE1	Rv0096	PPE family protein PPE1	hypoxia_late:49%; human_sputum:12%	0.307	0.988917881088456	613.79	670	615	794	476	538	5.78	4.37
Rv0488	Rv0488	amino acid transporter	hypoxia_late:21%; ctl_stationary:17%	0.2816	0.986582843175181	602.86	639	498	623	608	653	18.02	14.2
Rv2566	Rv2566	hypothetical protein	hypoxia_late:25%	0.1909	0.90418246420653	577.27	655	800	755	426	329	60.36	52.21
PPE29	Rv1801	PPE family protein PPE29	hypoxia_late:24%; ctl_stationary:19%; PBS_RIF_DDmtb:14%	0.2726	0.986468274734343	599.28	729	636	730	419	515	11.37	9.05
vapB21	Rv2758c	antitoxin VapB21	human_sputum:30%	0.2272	0.961053871191844	600.23	506	439	629	658	802	55.7	46.86
Rv1580c	Rv1580c	phage protein	hypoxia_late:11%	0.2431	0.966598451165105	611.11	520	530	671	646	700	70.61	58.31
MT2626	MT2626	hypothetical protein	PBS_RIF_DDmtb:14%	0.1919	0.898485387825374	592.8	536	691	694	520	536	102.27	88.61
mazE6	Rv1991A	antitoxin MazE6	PBS_RIF_DDmtb:18%	0.1963	0.923605901375341	586.4	547	558	537	557	745	104.91	90.88
MT2601.1	MT2601.1	hypothetical protein	hypoxia_late:19%; ctl_stationary:11%	0.2075	0.930289894976266	603.97	531	592	572	611	722	64.19	54.74
murG	Rv2153c	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide)	microaerophilic:18%; hypoxia_late:13%	0.1754	0.882282570330161	564.79	674	750	659	466	332	308.55	270.64
Rv0987	Rv0987	adhesion component ABC transporter permease	hypoxia_late:14%; PBS_RIF_DDmtb:13%; ctl_stationary:11%	0.151	0.751751967177535	558.7	537	738	493	560	483	62.82	56.04
Rv1817	Rv1817	flavoprotein	hypoxia_late:15%; ctl_stationary:10%	0.1625	0.815771788748684	579.01	512	692	496	590	616	50.71	44.72
Rv1507A	Rv1507A	hypothetical protein	human_sputum:13%	0.1723	0.865288735616237	579.29	565	684	560	545	548	149.21	131.34
Rv3179	Rv3179	hypothetical protein	hypoxia_late:18%; ctl_stationary:16%	0.1946	0.927795890004589	587.76	545	606	711	568	518	53.46	45.96
pks9	Rv1664	polyketide synthase	hypoxia_late:32%	0.1661	0.848506219319286	579.73	543	676	631	553	504	29.15	25.7
Rv0500A	Rv0500A	DNA-binding protein	acidic:14%; INDIGO_exponential:12%; ctl_exponential:10%	0.1814	0.896976434419362	585.13	591	703	781	518	377	1125.26	983.09
fdxC	Rv1177	ferredoxin FdxC	INDIGO_exponential:8%	0.1796	0.888926771411557	585.68	563	674	773	572	384	1244.86	1090.85
Rv1500	Rv1500	glycosyltransferase	hypoxia_late:13%; human_sputum:12%	0.2004	0.959480732885168	573.58	688	626	664	501	414	77.15	66.56
Rv2040c	Rv2040c	sugar ABC transporter permease	hypoxia_late:13%	0.1783	0.879321817463235	588.69	470	566	528	621	781	36.55	31.86
irtB	Rv1349	iron ABC transporter ATP-binding protein/permease IrtB	low_iron:24%; hypoxia_late:16%	0.1905	0.923224939296587	586.97	617	724	667	484	465	39.04	33.73
vapB4	Rv0596c	antitoxin VapB4	hypoxia_late:13%; PBS_RIF_DDmtb:11%; ctl_stationary:11%	0.4271	0.998484874784321	617.81	818	367	613	588	757	13.81	9.32
Rv1978	Rv1978	hypothetical protein	hypoxia_late:12%	0.1602	0.837560053104353	577.43	553	680	400	603	676	68.49	60.64
pknJ	Rv2088	transmembrane serine/threonine-protein kinase PknJ	hypoxia_late:23%	0.1886	0.901828449309922	602.51	601	789	747	493	424	56.37	48.84
umaA	Rv0469	mycolic acid synthase UmaA	nutrient_limitation:16%; human_sputum:16%	0.1704	0.869679717722756	587.48	605	741	740	538	360	597.25	526.26
lppO	Rv2290	lipoprotein LppO	human_sputum:12%	0.1503	0.790452183128751	574.69	555	714	464	610	545	273.02	243.92
MT1838.1	MT1838.1	hypothetical protein	hypoxia_late:17%	0.2116	0.968813464990289	590.05	648	392	268	810	984	30.02	25.41
Rv3899c	Rv3899c	hypothetical protein	hypoxia_late:28%	0.1931	0.940986095267321	596.96	656	722	727	506	409	77.23	66.8
Rv2000	Rv2000	hypothetical protein	hypoxia_late:21%; ctl_stationary:11%	0.2046	0.939415033714428	618.08	560	681	793	523	553	22.93	19.55
Rv1855c	Rv1855c	oxidoreductase	zinc_limitation:8%	0.1619	0.82466946857393	601.65	554	766	742	558	423	264.19	234.24
MT3041.1	MT3041.1	hypothetical protein	hypoxia_late:21%	0.2337	0.979937637951848	604.82	667	511	529	612	718	26.54	22.04
MT0383	MT0383	hypothetical protein	hypoxia_late:15%	0.1803	0.894912693174283	606.69	523	665	688	589	576	156.6	136.69
Rv2279	Rv2279	transposase	hypoxia_late:22%; ctl_stationary:18%	0.2019	0.942712408390735	618.02	571	624	583	577	743	22.23	18.93
MT0856.1	MT0856.1	hypothetical protein	hypoxia_late:16%; human_sputum:14%; ctl_stationary:12%	0.2333	0.975165097969008	621.08	665	668	736	537	514	50.95	42.65
Rv2180c	Rv2180c	integral membrane protein	hypoxia_late:12%; PBS_RIF_DDmtb:11%; ctl_stationary:10%	0.169	0.876230156856929	601.51	528	643	512	602	736	44.3	39.05
MT0868	MT0868	hypothetical protein	hypoxia_late:20%; microaerophilic:13%	0.2873	0.997221188487339	600.76	765	285	519	698	830	65.88	52.66
MT2726	MT2726	hypothetical protein	hypoxia_late:21%; ctl_stationary:16%; PBS_RIF_DDmtb:10%	0.169	0.882876549873388	600.62	572	701	523	559	657	28.05	24.64
Rv0669c	Rv0669c	neutral ceramidase	PBS_RIF_DDmtb:43%	0.1461	0.778309282490507	583.36	524	704	585	635	482	165.87	148.45
mca	Rv1082	mycothiol S-conjugate amidase	human_sputum:9%	0.1616	0.853113031810083	604.17	535	713	594	615	571	134.88	119.08
MT0610	MT0610	hypothetical protein	ctl_stationary:10%	0.1517	0.762809467093471	604.29	546	815	651	581	457	370.2	330.11
celA2a	Rv1089A	cellulase celA2a	hypoxia_late:26%; PBS_RIF_DDmtb:16%; ctl_stationary:12%; hypoxia_hypoxic:10%	0.5926	0.99974545295377	603.8	1031	61	128	1187	1382	5.65	2.14
secE1	Rv0638	preprotein translocase SecE	zinc_limitation:10%	0.1591	0.871388956636746	589.1	683	760	644	548	356	1383.41	1228.93
rtcB	Rv2631	RNA-splicing ligase RtcB	microaerophilic:24%	0.1535	0.798700803865165	604.34	550	779	581	579	547	94.91	84.45
Rv0207c	Rv0207c	hypothetical protein	INDIGO_exponential:8%	0.14	0.762935626365142	577.92	587	744	486	627	467	478.74	431.13
ctpH	Rv0425c	metal cation transporting ATPase H	zinc_limitation:11%	0.1407	0.722019301542432	590.34	594	848	557	606	391	332.03	298.58
Rv2264c	Rv2264c	hypothetical protein	hypoxia_late:23%	0.1899	0.95449531756326	600.53	748	719	684	454	437	50.95	44.12
Rv2369c	Rv2369c	hypothetical protein	acidic_tyloxopol:18%; butyrate:12%	0.232	0.983667420125063	615.44	659	521	720	550	638	74.41	62.77
Rv2106	Rv2106	transposase	hypoxia_late:22%; ctl_stationary:18%	0.1979	0.946474921270818	633.57	584	640	601	597	753	22.06	18.86
thiE	Rv0414c	thiamine-phosphate synthase	hypoxia_late:21%	0.2085	0.956001026423613	643.52	527	650	779	645	629	68.44	58.03
Rv2655c	Rv2655c	prophage protein	hypoxia_late:12%; hypoxia_hypoxic:11%	0.1793	0.923107602587602	609.26	622	710	682	532	513	53.23	46.5
Rv0367c	Rv0367c	hypothetical protein	hypoxia_late:15%; ctl_stationary:10%	0.1769	0.903683302897227	622.62	540	678	686	616	599	167.07	146.2
MT0600	MT0600	hypothetical protein	hypoxia_hypoxic:19%; ctl_stationary:15%	0.4492	0.999568055884306	627.41	1016	125	313	1015	1065	7.31	4.05
Rv2021c	Rv2021c	transcriptional regulator	hypoxia_fatty_acids:21%	0.2273	0.971423899918783	652.33	645	790	933	510	444	222.53	187.7
Rv0612	Rv0612	hypothetical protein	hypoxia_late:15%	0.1837	0.928371704456236	632.57	567	604	467	715	842	34.75	30.1
Rv1290A	Rv1290A	hypothetical protein	hypoxia_late:26%; human_sputum:13%	0.2477	0.992748995502594	633.14	726	415	595	638	832	28.65	23.66
mce2D	Rv0592	Mce family protein Mce2D	hypoxia_late:26%; PBS_RIF_DDmtb:12%; ctl_stationary:11%	0.222	0.979108953163426	635.41	735	696	660	529	569	15.5	12.93
parE1	Rv1959c	toxin ParE1	hypoxia_fatty_acids:24%; ctl_stationary:11%	0.2005	0.946503989635594	653.16	541	669	800	622	647	112.81	97.3
alaT	Rvnt02	tRNA-Ala	hypoxia_late:17%; tyloxopol:16%	0.2562	0.996074922344451	613.35	806	239	243	995	1079	35.78	28.73
pafC	Rv2095c	proteasome accessory factor C	hypoxia_late:15%	0.1679	0.909382861137056	611.6	652	748	700	539	445	172.4	152.09
dinG	Rv1329c	ATP-dependent helicase DinG	hypoxia_late:16%	0.1587	0.862771915073264	628.48	597	805	699	569	495	68.03	60.34
Rv1159A	Rv1159A	pterin-4-alpha-carbinolamine dehydratase	cholesterol:13%; acidic:10%	0.1884	0.938472858645709	637.76	542	648	897	614	520	343.68	299.43
Rv0195	Rv0195	two component transcriptional regulator	ctl_stationary:19%; hypoxia_late:16%; human_sputum:12%; nutrient_limitation:12%; PBS_RIF_DDmtb:11%	0.2691	0.993341739014688	650.99	762	501	620	586	811	11.97	9.44
PE_PGRS30	Rv1651c	PE-PGRS family protein PE_PGRS30	microaerophilic:27%; hypoxia_late:13%	0.1646	0.90430916085655	609.42	732	814	685	500	373	89.67	79.15
accA2	Rv0973c	acetyl-/propionyl-CoA carboxylase subunit alpha	microaerophilic:63%	0.1567	0.866904415698991	623.81	552	715	477	665	730	27.21	24.04
Rv1374c	Rv1374c	hypothetical protein	hypoxia_rar:13%; acidic_tyloxopol:11%	0.1767	0.921931263791766	633.63	623	756	821	563	442	388.94	340.82
lpqX	Rv1228	lipoprotein LpqX	PBS_RIF_DDmtb:13%	0.1496	0.859472481052142	608.19	568	671	499	629	684	150.57	134.69
fadE15	Rv1467c	acyl-CoA dehydrogenase FadE15	PBS_RIF_DDmtb:15%; low_iron:13%	0.1765	0.920792180097241	635.58	699	860	785	505	392	102.68	89.85
sthA	Rv2713	pyridine nucleotide transhydrogenase	PBS_RIF_DDmtb:18%	0.1532	0.851466306233801	633.75	609	828	706	583	471	144.88	128.97
F6	Rvnc0003	putative small regulatory RNA	low_iron:21%	0.2029	0.96777239323252	643.6	613	611	669	605	724	266.71	229.64
Rv3480c	Rv3480c	diacyglycerol O-acyltransferase	butyrate_plus_glucose:8%	0.1631	0.907529785663847	622	711	807	726	526	390	213.3	188.66
tpx	Rv1932	thiol peroxidase	ctl_exponential:13%	0.154	0.866280195769333	631.46	669	846	734	575	385	1330.7	1185.65
Rv2190c	Rv2190c	endopeptidase	zinc_limitation:11%; ctl_exponential:10%	0.143	0.763806960980792	635.5	580	888	702	624	428	1293.66	1161.75
Rv2008c	Rv2008c	hypothetical protein	hypoxia_late:20%; ctl_stationary:16%	0.2209	0.981739040184283	646.77	680	649	819	561	543	19.11	16.04
Rv2707	Rv2707	hypothetical protein	PBS_RIF_DDmtb:12%	0.1385	0.80843850496453	604.26	600	740	543	647	505	272.39	245.6
vapC42	Rv2759c	ribonuclease VapC42	hypoxia_late:15%	0.1679	0.900392048017068	642.48	564	699	531	669	764	94.88	83.61
MT1945	MT1945	hypothetical protein	human_sputum:16%; PBS_RIF_DDmtb:14%; hypoxia_late:13%	0.3091	0.9980994821878	664.7	779	384	701	725	784	15.5	11.77
MT0772.2	MT0772.2	hypothetical protein	hypoxia_late:55%	0.2461	0.99218855468331	660.45	740	451	641	651	854	37.73	31.19
modB	Rv1858	molybdenum ABC transporter permease ModB	low_iron:11%	0.1553	0.884119430422247	633.31	582	702	440	710	761	64.32	57.08
Rv2779c	Rv2779c	Lrp/AsnC family transcriptional regulator	ctl_stationary:11%; hypoxia_late:11%; INDIGO_exponential:11%	0.181	0.949258032594006	634.05	651	709	654	573	588	113.71	99.43
Rv3530c	Rv3530c	oxidoreductase	hypoxia_fatty_acids:44%; human_sputum:13%	0.2253	0.986731027263702	650.12	664	513	542	743	814	16.04	13.25
eccD1	Rv3877	ESX-1 secretion system protein EccD1	PBS_RIF_DDmtb:8%	0.1337	0.76846516389031	607.97	636	834	487	659	460	322.57	291.52
vapC40	Rv2596	ribonuclease VapC40	tyloxopol:10%	0.1824	0.963604073960157	624.83	702	623	599	555	650	102.18	89.43
Rv0990c	Rv0990c	hypothetical protein	ctl_stationary:22%; hypoxia_fatty_acids:18%	0.1583	0.864898910289616	660.57	558	798	649	636	673	110.14	97.67
Rv0988	Rv0988	hypothetical protein	hypoxia_late:13%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.1562	0.895726678562801	636.97	627	775	657	587	550	97.39	86.64
MT2895	MT2895	hypothetical protein	hypoxia_late:21%	0.3407	0.998792402243627	697.31	926	506	710	639	739	42.65	31.74
proB	Rv2439c	glutamate 5-kinase protein	hypoxia_late:18%	0.1524	0.873466935545001	640	633	821	672	594	501	159.36	141.82
Rv0918	Rv0918	hypothetical protein	hypoxia_late:11%; hypoxia_fatty_acids:10%	0.2031	0.974957343150082	660.24	621	601	746	657	681	61.16	52.25
pup	Rv2111c	ubiquitin-like protein Pup	cholesterol:10%	0.1633	0.893215380138716	668.07	663	917	807	564	443	1089.86	964.42
aroK	Rv2539c	shikimate kinase	microaerophilic:26%	0.1678	0.931911073395563	641.53	611	707	717	626	554	284.69	250.19
dnaA	Rv0001	chromosomal replication initiator protein DnaA	acidic_tyloxopol:13%	0.1717	0.927040747479704	658.58	650	816	876	571	431	147.88	130.06
Rv2777c	Rv2777c	hypothetical protein	PBS_RIF_DDmtb:9%	0.1441	0.841762817854156	647.57	573	794	658	653	572	152.24	136.64
MTS2362	MTS2362	small intergenic RNA	human_sputum:18%	0.1659	0.941261180354773	635.77	593	544	490	720	866	97.15	85.77
Rv2548A	Rv2548A	hypothetical protein	acidic_tyloxopol:8%	0.1856	0.958589758375863	668.48	691	792	835	566	491	247.17	215.19
Rv1815	Rv1815	hypothetical protein	high_iron:14%	0.1399	0.859174167002006	625.58	610	711	640	692	488	1008.94	908.62
ppdK	Rv1127c	pyruvate, phosphate dikinase PpdK	hypoxia_late:8%	0.1403	0.811942367337007	649.91	615	887	645	628	503	149.94	134.82
udgA	Rv0322	UDP-glucose 6-dehydrogenase UdgA	hypoxia_late:19%; ctl_stationary:15%	0.2208	0.984332742472937	694.42	569	571	836	741	777	12.43	10.25
secE2	Rv0379	protein translocase subunit SecE	tyloxopol:16%; acidic_tyloxopol:11%; butyrate_plus_glucose:10%	0.2091	0.976266571429044	698.85	631	783	924	483	713	1111.91	952.49
MT0915.1	MT0915.1	hypothetical protein	hypoxia_late:32%	0.2468	0.996431922704508	678.81	841	503	632	631	817	24.01	19.67
Rv3026c	Rv3026c	hypothetical protein	hypoxia_late:32%; ctl_stationary:10%	0.162	0.920148423418326	672.67	534	653	555	806	845	41.02	36.04
Rv3104c	Rv3104c	transmembrane protein	zinc_limitation:10%	0.1359	0.814894490785169	643	634	858	588	654	506	319.89	288.57
PPE47	Rv3021c	PPE family protein	hypoxia_late:49%	0.2138	0.9822373186086	701.37	738	768	776	584	651	20.09	16.94
moaR1	Rv3124	transcriptional regulator MoaR	hypoxia_late:16%; human_sputum:15%; ctl_stationary:14%	0.2456	0.99296056017338	712.04	654	568	851	736	768	14.41	11.66
galE2	Rv0501	UDP-glucose 4-epimerase GalE	human_sputum:9%	0.1396	0.862561899442126	641.07	640	772	646	674	490	397.32	357.94
Rv1730c	Rv1730c	penicillin-binding protein	human_sputum:14%; hypoxia_late:11%	0.1922	0.974756498778704	681.22	720	763	891	580	489	56.05	48.47
