GENE_NAME	GENE_ID	PRODUCT	CellType	LOG2FOLD	AVG_PVALUE	AVG_RANK	RoundRobin	RankProduct	SAM	EdgeR	DESeq	Rv1473A_ATC_noDrug	Rv1473A_DMSO_noDrug
bacA	Rv1819c	vitamin B12 transport ATP-binding protein BacA	hypoxia_late:13%	0.0755	0.999916332624342	1281.16	1342	1487	1260	1142	1189	47.43	45.34
MT3270.1	MT3270.1	hypothetical protein	hypoxia_late:22%; ctl_stationary:12%	0.0761	0.999960609577819	1258.56	1233	1226	1178	1248	1414	34.7	33.16
Rv2923c	Rv2923c	hypothetical protein	hypoxia_late:11%	0.0712	0.999916443498761	1276.38	1415	1318	1199	1216	1240	95.73	91.85
Rv1219c	Rv1219c	transcriptional regulator	butyrate:20%	0.0677	0.99994719334092	1234.17	1134	1221	1289	1264	1266	51.21	49.3
Rv0238	Rv0238	transcriptional regulator	human_sputum:9%	0.0719	0.99990297210948	1292.02	1377	1503	1262	1175	1159	258.25	247.67
Rv0472c	Rv0472c	HTH-type transcriptional regulator	INDIGO_exponential:11%	0.0631	0.999872908913857	1276.19	1331	1465	1263	1266	1072	349.98	337.65
fgd1	Rv0407	F420-dependent glucose-6-phosphate dehydrogenase	zinc_limitation:9%	0.0636	0.999886457772113	1273.71	1320	1413	1224	1232	1186	101.81	98.11
cysU	Rvnt33	tRNA-Cys	hypoxia_late:16%; human_sputum:14%; zinc_limitation:13%	0.08	0.999984476223213	1222.02	1136	949	1221	1356	1483	78.18	74.69
fusA1	Rv0684	elongation factor G	INDIGO_exponential:9%	0.0571	0.999870828468844	1248.76	1338	1263	1314	1333	1012	1606.19	1556.07
MTS2292	MTS2292	small intergenic RNA	acidic_tyloxopol:16%	0.0574	0.999865031517905	1256.74	1253	1372	1293	1290	1085	308.19	298.54
fadE2	Rv0154c	acyl-CoA dehydrogenase FadE2	zinc_limitation:10%	0.0597	0.99987149960976	1267.14	1230	1467	1288	1287	1079	162.95	157.56
gshA	Rv3704c	glutamate--cysteine ligase	zinc_limitation:9%	0.0614	0.999945737699961	1212.59	1144	1071	1347	1286	1225	165.54	159.82
Rv1245c	Rv1245c	short-chain type dehydrogenase/reductase	hypoxia_hypoxic:8%	0.062	0.999920583318257	1241.76	1301	1131	1282	1288	1211	199.34	192.23
Rv3750c	Rv3750c	excisionase	acidic_tyloxopol:16%; ctl_exponential:11%	0.0602	0.99989030782425	1266.19	1343	1300	1233	1276	1182	262.44	253.53
lipI	Rv1400c	lipase	hypoxia_late:12%	0.057	0.999887771281051	1245.16	1198	1320	1277	1305	1131	126.48	122.51
serS	Rv3834c	serine--tRNA ligase	hypoxia_late:22%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.0734	0.999950090217768	1276.44	1225	1404	1283	1199	1276	32.11	30.73
murG	Rv2153c	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide)	microaerophilic:18%; hypoxia_late:13%	0.0672	0.999966050674284	1230.07	1181	1051	1341	1309	1280	312.97	300.97
vapB40	Rv2595	antitoxin VapB40	human_sputum:15%	0.0693	0.999936572057028	1277.18	1287	1336	1250	1275	1239	215.03	206.66
Rv3193c	Rv3193c	transmembrane protein	tyloxopol:7%	0.0725	0.9999055982577	1325.85	1487	1597	1284	1158	1134	180.8	173.28
Rv3688c	Rv3688c	hypothetical protein	ctl_exponential:8%	0.0552	0.999886397944456	1255.34	1165	1387	1238	1322	1172	233.01	226.01
Rv2962c	Rv2962c	PGL/p-HBAD biosynthesis rhamnosyltransferase	hypoxia_late:14%; ctl_stationary:10%	0.0809	0.99995144327109	1329.26	1387	1624	1273	1137	1250	46.34	44.12
Rv1954c	Rv1954c	hypothetical protein	microaerophilic:28%; hypoxia_fatty_acids:26%; ctl_stationary:14%	0.063	0.999932194413424	1254.71	1304	1167	1294	1270	1241	209.49	201.92
Rv3779	Rv3779	transmembrane protein	hypoxia_late:12%	0.0658	0.999892644523134	1307.53	1478	1450	1257	1229	1140	96.1	92.47
fadD11.1	Rv1549	fatty-acid-CoA ligase fadD11_1	hypoxia_late:12%	0.0766	0.999969730503638	1279.82	1409	1148	1295	1223	1332	71.43	68.18
eccE3	Rv0292	ESX-3 secretion system protein EccE	microaerophilic:21%; low_iron:14%; zinc_limitation:10%	0.0604	0.999946694317457	1242.37	1209	1138	1349	1318	1204	375.1	362.49
deoD	Rv3307	purine nucleoside phosphorylase	hypoxia_late:12%	0.0641	0.999976974330883	1209.03	1043	1011	1416	1272	1330	263.57	254.04
PE_PGRS58	Rv3590c	PE-PGRS family protein PE_PGRS58	hypoxia_late:34%	0.0604	0.999928972475992	1266.68	1254	1264	1313	1303	1201	62.21	60.09
vapB23	Rv2862A	antitoxin VapB23	hypoxia_late:20%; ctl_stationary:16%; PBS_RIF_DDmtb:16%	0.0902	0.999989736290122	1290.07	1347	1165	1331	1146	1476	21.35	20.35
Rv3209	Rv3209	hypothetical protein	tyloxopol:13%; butyrate_plus_glucose:10%; high_iron:10%	0.071	0.999926966781715	1320.4	1424	1506	1285	1198	1203	315.8	302.91
Rv0771	Rv0771	4-carboxymuconolactone decarboxylase	hypoxia_late:16%; butyrate:11%	0.0906	0.99997724899004	1361.32	1521	1464	1135	1252	1455	18.77	17.64
Rv0843	Rv0843	dehydrogenase	hypoxia_late:22%; ctl_stationary:11%	0.0689	0.999942994595376	1299.92	1362	1346	1194	1301	1300	30.51	29.26
Rv2542	Rv2542	hypothetical protein	hypoxia_late:9%	0.0557	0.999906377126253	1266.96	1280	1291	1321	1319	1129	145.57	141.13
Rv0466	Rv0466	hypothetical protein	hypoxia_rar:10%	0.0626	0.999929586593365	1278.87	1379	1244	1325	1295	1157	302.25	291.8
adk	Rv0733	adenylate kinase	ctl_exponential:10%; tyloxopol:10%	0.0589	0.999886455159018	1308.72	1376	1495	1308	1307	1076	636.3	615.74
mmpS1	Rv0403c	membrane protein MmpS1	hypoxia_late:14%; ctl_stationary:10%	0.068	0.999974040783893	1268.88	1314	1059	1335	1281	1368	64.63	62.18
MT2115	MT2115	hypothetical protein	zinc_limitation:34%; human_sputum:15%	0.0682	0.999965870589643	1278.59	1276	1155	1217	1294	1461	143.26	137.76
Rv0576	Rv0576	transcriptional regulator	PBS_RIF_DDmtb:10%	0.059	0.999948148620046	1263.32	1262	1162	1357	1308	1232	132.83	128.48
Rv3453	Rv3453	conserved membrane protein	PBS_RIF_DDmtb:30%; hypoxia_late:14%	0.0909	0.999991992069919	1290.88	1310	1042	1299	1323	1502	13.27	12.56
relK	Rv3358	toxin RelK	hypoxia_late:32%; ctl_stationary:11%	0.0995	0.999993832241119	1325.54	1239	1210	1180	1520	1499	18.88	17.53
Rv1044	Rv1044	hypothetical protein	PBS_RIF_DDmtb:16%; ctl_stationary:13%	0.0752	0.999958636171581	1337.61	1385	1535	1286	1197	1297	61.07	58.42
Rv0083	Rv0083	oxidoreductase	hypoxia_late:24%	0.067	0.99997375660509	1272.49	1057	1243	1404	1297	1377	79.97	76.85
Rv2164c	Rv2164c	hypothetical protein	microaerophilic:20%	0.0583	0.99992562402128	1277.94	1255	1314	1326	1352	1148	262.14	253.7
Rv1895	Rv1895	zinc-binding alcohol dehydrogenase	hypoxia_fatty_acids:15%; ctl_stationary:13%; PBS_RIF_DDmtb:11%	0.0651	0.999952182589049	1281.88	1237	1301	1306	1284	1282	32.63	31.44
Rv2206	Rv2206	transmembrane protein	hypoxia_rar:10%	0.0539	0.999904848664697	1275.16	1257	1335	1340	1353	1100	317	307.81
Rv3369	Rv3369	hypothetical protein	hypoxia_late:11%	0.0718	0.999949364480667	1339.85	1416	1505	1276	1224	1288	110.63	106.05
aroK	Rv2539c	shikimate kinase	microaerophilic:26%	0.059	0.999960521638225	1261.89	1242	1118	1378	1315	1264	324.84	314.32
hisE	Rv2122c	phosphoribosyl-ATP pyrophosphatase	low_iron:25%; hypoxia_late:16%; PBS_RIF_DDmtb:11%	0.0887	0.999992277781544	1288.75	1349	1013	1007	1544	1593	10.35	9.73
Rv2802c	Rv2802c	arginine/hypothetical protein	hypoxia_late:27%	0.0624	0.999983222381605	1215.81	1036	952	1409	1327	1394	66.14	63.78
Rv1874	Rv1874	hypothetical protein	ctl_stationary:7%	0.0619	0.999962820370377	1273.82	1190	1222	1353	1335	1273	87.22	84.26
vapB9	Rv0959A	antitoxin VapB9	hypoxia_fatty_acids:11%	0.0678	0.999964823107127	1303.71	1290	1281	1236	1326	1388	130.5	125.3
MT3102	MT3102	hypothetical protein	hypoxia_late:59%	0.1227	0.999999410936677	1351.03	1477	894	1143	1563	1773	6.23	5.61
Rv2402	Rv2402	trehalase	hypoxia_late:9%	0.0553	0.999896591164005	1308.08	1297	1501	1304	1313	1138	84.08	81.52
Rv0879c	Rv0879c	transmembrane protein	hypoxia_rar:12%; hypoxia_late:11%	0.0655	0.999986902808102	1228.55	1059	946	1397	1336	1446	185.1	178.16
Rv1975	Rv1975	hypothetical protein	hypoxia_late:19%; ctl_stationary:13%	0.0752	0.999984935727874	1287.18	1186	1145	1231	1368	1524	18.49	17.56
Rv0954	Rv0954	transmembrane protein	zinc_limitation:13%	0.0545	0.999945689318057	1271.96	1248	1201	1384	1349	1184	840.47	815.67
PPE32	Rv1808	PPE family protein PPE32	acidic:31%; acidic_tyloxopol:11%	0.076	0.999961107845199	1363.79	1472	1574	1278	1218	1293	37.51	35.79
Rv2020c	Rv2020c	conserved hypothetical protein	hypoxia_fatty_acids:16%	0.0652	0.999957819502168	1311.53	1337	1306	1210	1317	1391	76.17	73.37
vapC5	Rv0627	ribonuclease VapC5	PBS_RIF_DDmtb:10%	0.0598	0.999932096095889	1316.48	1441	1332	1332	1277	1206	255.69	247.38
pepQ	Rv2535c	cytoplasmic peptidase PepQ	microaerophilic:8%	0.0539	0.999901147452219	1309.12	1315	1473	1330	1372	1073	270.18	262.33
Rv3364c	Rv3364c	hypothetical protein	hypoxia_late:14%	0.0602	0.999971419532919	1274.22	1139	1154	1316	1387	1387	142.54	137.59
fprB	Rv0886	ferredoxin/ferredoxin--NADP reductase	low_iron:21%; hypoxia_late:11%; PBS_RIF_DDmtb:10%	0.0619	0.999961592111518	1299.31	1375	1180	1350	1291	1305	58.4	56.31
Rv0612	Rv0612	hypothetical protein	hypoxia_late:15%	0.0668	0.999981981064887	1277.9	1142	1124	1346	1354	1439	33.13	31.91
MT3532.1	MT3532.1	hypothetical protein	hypoxia_late:20%; PBS_RIF_DDmtb:13%; human_sputum:13%; ctl_stationary:10%	0.1116	0.999995059233725	1424.93	1533	1608	1126	1347	1539	8.14	7.46
Rv0326	Rv0326	hypothetical protein	hypoxia_fatty_acids:32%; hypoxia_late:15%; ctl_stationary:12%	0.0792	0.999990250648247	1297.04	1226	991	1223	1505	1585	25.26	23.91
Rv1498c	Rv1498c	methyltransferase	zinc_limitation:11%	0.0724	0.99996717883675	1357.29	1388	1523	1320	1262	1301	100.04	95.89
MT0968.1	MT0968.1	hypothetical protein	microaerophilic:14%	0.0737	0.999974756940421	1348.73	1356	1428	1301	1289	1372	162.18	155.16
Rv0038	Rv0038	hypothetical protein	microaerophilic:8%	0.0579	0.999917196996466	1335.97	1401	1492	1309	1325	1164	419.45	405.96
Rv0476	Rv0476	transmembrane protein	hypoxia_fatty_acids:12%	0.0604	0.999926429976153	1344.09	1474	1461	1318	1280	1198	640.85	619.34
Rv2912c	Rv2912c	TetR family HTH-type transcriptional regulator	hypoxia_fatty_acids:53%; butyrate:13%	0.064	0.999962052375355	1323.54	1306	1367	1269	1314	1363	45.08	43.46
Rv3190c	Rv3190c	hypothetical protein	zinc_limitation:12%	0.0631	0.999944342409356	1344.29	1352	1548	1329	1249	1254	75.03	72.37
Rv0898c	Rv0898c	hypothetical protein	hypoxia_fatty_acids:14%; cholesterol:11%	0.0674	0.999964418765825	1349.92	1355	1479	1343	1293	1284	537.71	517.54
Rv1638A	Rv1638A	hypothetical protein	acidic_tyloxopol:24%; butyrate:15%; butyrate_plus_glucose:11%	0.0637	0.999974670338854	1309.69	1267	1197	1256	1371	1466	114.76	110.38
Rv2570	Rv2570	hypothetical protein	hypoxia_fatty_acids:14%; hypoxia_late:14%; ctl_stationary:13%	0.0834	0.99998971580871	1351.96	1194	1299	1261	1478	1544	37.35	35.33
MT1166	MT1166	hypothetical protein	PBS_RIF_DDmtb:35%; hypoxia_late:23%; ctl_stationary:11%	0.1073	0.999998572973978	1363.05	1509	1089	1265	1393	1589	9.59	9
MT0655	MT0655	hypothetical protein	PBS_RIF_DDmtb:9%	0.0574	0.999936540142142	1341.16	1476	1376	1344	1331	1187	293.86	284.73
rpsQ	Rv0710	30S ribosomal protein S17	INDIGO_exponential:11%; hypoxia_rar:10%	0.0582	0.999964454854606	1317.06	1403	1207	1396	1330	1255	2578.36	2496.29
MT1790	MT1790	hypothetical protein	hypoxia_late:31%	0.0804	0.999991090221085	1334.43	1298	1104	1270	1461	1563	90.53	86.2
cobN	Rv2062c	cobalamin biosynthesis protein CobN	hypoxia_late:16%	0.0561	0.999981401161088	1270.69	1124	1097	1457	1360	1335	94.05	91.13
Rv0569	Rv0569	hypothetical protein	cholesterol:23%; ctl_stationary:20%	0.099	0.999989328243632	1456.49	1597	1960	1303	1021	1485	287.66	270.62
yrbE1A	Rv0167	membrane protein	acidic:13%; acidic_tyloxopol:12%; butyrate_plus_glucose:11%	0.0582	0.999987258686359	1251.35	1018	963	1529	1344	1457	654.16	633
deoC	Rv0478	deoxyribose-phosphate aldolase	ctl_stationary:8%	0.0532	0.999939723252239	1324.98	1330	1364	1324	1388	1222	203.74	197.76
Rv2827c	Rv2827c	hypothetical protein	microaerophilic:17%	0.0647	0.999968779595379	1352.34	1302	1496	1365	1278	1326	115.79	111.57
lppF	Rv1921c	lipoprotein LppF	hypoxia_late:14%; acidic_tyloxopol:11%	0.0642	0.99998143361207	1319.33	1273	1198	1342	1324	1467	14.55	13.99
Rv1034c	Rv1034c	transposase	hypoxia_late:53%; ctl_stationary:14%	0.1015	0.999997940161373	1381.58	1488	1214	1252	1434	1535	3.07	2.84
kasB	Rv2246	3-oxoacyl-ACP synthase 2	hypoxia_hypoxic:15%	0.0547	0.999984157667386	1259.58	1088	1033	1468	1377	1362	2897.14	2810.97
MT3103	MT3103	hypothetical protein	hypoxia_late:32%	0.0891	0.999993097343843	1376.22	1503	1209	1268	1481	1433	16.87	16.01
Rv0145	Rv0145	S-adenosylmethionine-dependent methyltransferase	nutrient_limitation:14%; PBS_RIF_DDmtb:10%	0.0552	0.999985999195257	1251.8	1051	981	1514	1357	1400	758.43	735.63
Rv1404	Rv1404	transcriptional regulator	nutrient_limitation:14%	0.0696	0.999949733162656	1429.33	1684	1724	1319	1225	1236	503.37	483.43
sadH	Rv3085	oxidoreductase SadH	hypoxia_late:18%; nutrient_limitation:16%	0.081	0.999997790236147	1290.87	1035	1086	1494	1237	1656	63.97	60.82
Rv3898c	Rv3898c	hypothetical protein	ctl_exponential:8%	0.0548	0.999967308744106	1319.37	1311	1236	1366	1364	1322	206.45	200.31
Rv1516c	Rv1516c	sugar transferase	hypoxia_late:22%	0.0609	0.99998524070144	1298.7	1026	1123	1414	1454	1514	31.69	30.62
moeA1	Rv0994	molybdopterin molybdenumtransferase 1	microaerophilic:9%	0.0535	0.999980347580685	1278.38	1149	1093	1462	1370	1337	374.31	363.45
MT0012	MT0012	hypothetical protein	tyloxopol:15%; butyrate_plus_glucose:12%; high_iron:10%	0.0512	0.999957400077073	1318.38	1259	1316	1395	1391	1235	993.37	966.47
bpoC	Rv0554	non-heme bromoperoxidase BpoC	tyloxopol:14%	0.0531	0.999955587796183	1331.7	1336	1330	1376	1358	1260	119.09	115.71
Rv1904	Rv1904	hypothetical protein	acidic_tyloxopol:15%; acidic:11%	0.0588	0.99998406897911	1298.55	1275	1072	1441	1342	1379	301.46	291.72
vapC25	Rv0277c	ribonuclease VapC25	butyrate_plus_glucose:10%	0.0711	0.999961408656173	1435.78	1682	1741	1323	1200	1275	200.27	192.14
espG1	Rv3866	ESX-1 secretion-associated protein EspG	human_sputum:8%	0.05	0.999924932124399	1361.58	1446	1482	1356	1419	1121	418.35	407.2
Rv1667c	Rv1667c	macrolide-transport ATP-binding protein ABC transporter	hypoxia_late:19%	0.059	0.999982062839905	1325.03	1272	1156	1333	1386	1490	40.51	39.14
MT0472.1	MT0472.1	hypothetical protein	ctl_stationary:15%; hypoxia_late:14%	0.0588	0.999978399138403	1342.69	1224	1315	1234	1464	1488	41.52	40.14
Rv1763	Rv1763	transposase	hypoxia_late:34%; ctl_stationary:17%	0.0679	0.999981745912891	1375.9	1457	1313	1215	1411	1493	30.54	29.38
Rv3355c	Rv3355c	integral membrane protein	butyrate:14%; hypoxia_late:13%	0.0652	0.999982224241348	1360.61	1399	1196	1226	1440	1559	67.97	65.19
csm6	Rv2818c	CRISPR-associated protein Csm6	hypoxia_late:13%	0.0602	0.999970704720766	1364.9	1332	1425	1317	1355	1397	50.93	49.11
PE_PGRS45	Rv2615c	PE-PGRS family protein PE_PGRS45	hypoxia_late:23%	0.0506	0.99995125263955	1344.12	1391	1350	1381	1390	1213	130.9	127.34
PE_PGRS7	Rv0578c	PE-PGRS family protein PE_PGRS7	cholesterol:15%; microaerophilic:13%; hypoxia_late:12%	0.0716	0.999996457612704	1288.48	1023	976	1391	1463	1657	184.44	176.65
Rv3184	Rv3184	transposase	hypoxia_late:33%; ctl_stationary:16%	0.0638	0.999984239573817	1347.69	1222	1304	1192	1511	1528	30.65	29.53
Rv0497	Rv0497	transmembrane protein	hypoxia_late:10%	0.0514	0.999927886651831	1369.87	1558	1434	1368	1381	1127	248.88	242.09
Rv1810	Rv1810	hypothetical protein	acidic:12%; acidic_tyloxopol:12%	0.0667	0.999970854899975	1408.57	1469	1650	1361	1261	1318	492.3	473.61
PE_PGRS37	Rv2126c	PE-PGRS family protein PE_PGRS37	hypoxia_late:35%	0.0578	0.999992559680116	1265.61	1050	941	1500	1374	1521	50.15	48.53
MT2586.1	MT2586.1	hypothetical protein	hypoxia_late:15%	0.0655	0.999995604000143	1275.46	1069	917	1436	1439	1581	34.3	32.98
alkA	Rv1317c	bifunctional regulatory protein/DNA repair enzyme AlkA	nutrient_limitation:23%; PBS_RIF_DDmtb:15%	0.0575	0.999957722673737	1389.95	1649	1361	1385	1334	1237	212.76	206.06
murD	Rv2155c	UDP-N-acetylmuramoylalanine--D-glutamate ligase	microaerophilic:32%	0.0499	0.999943020365812	1361.98	1463	1392	1383	1404	1177	323.46	314.83
Rv0964c	Rv0964c	hypothetical protein	hypoxia_late:26%; ctl_stationary:10%	0.063	0.999985783537037	1348.59	1329	1183	1302	1418	1523	32.67	31.46
ung	Rv2976c	uracil-DNA glycosylase	acidic_tyloxopol:13%; zinc_limitation:10%	0.0475	0.999946450205504	1351.85	1252	1484	1345	1443	1244	211.47	206.13
acyP	Rv2922A	acylphosphatase	hypoxia_late:15%	0.0631	0.999985349182728	1354.93	1238	1292	1315	1414	1525	103.92	99.94
garA	Rv1827	glycogen accumulation regulator GarA	acidic:9%	0.0515	0.99993791247897	1385.38	1456	1577	1373	1378	1160	1409.36	1370.78
PE5	Rv0285	PE family protein PE5	microaerophilic:49%	0.0495	0.99996919950376	1338.6	1319	1262	1432	1420	1265	958.41	933.38
mcr7	Rvnc0014	putative small regulatory RN	acidic:15%; cholesterol:13%; nutrient_limitation:12%	0.0567	0.999990292003905	1287.42	1067	1056	1547	1345	1462	3171.99	3073.26
vapC31	Rv0749	ribonuclease VapC31	PBS_RIF_DDmtb:9%	0.067	0.999968522272384	1438.4	1624	1678	1338	1273	1304	155.31	149.45
Rv0876c	Rv0876c	transmembrane protein	microaerophilic:16%	0.0596	0.999959465780159	1416.55	1522	1632	1359	1328	1258	180.84	174.84
moaC2	Rv0864	cyclic pyranopterin monophosphate synthase accessory protein	microaerophilic:15%	0.0535	0.999927585666521	1408.88	1607	1609	1358	1362	1137	889.1	863.55
pncB2	Rv0573c	nicotinic acid phosphoribosyltransferase PncB2	hypoxia_late:29%; ctl_stationary:14%	0.0686	0.999986070837171	1397.75	1396	1438	1369	1346	1441	14.68	14.1
PPE10	Rv0442c	PPE family protein PPE10	ctl_stationary:14%; hypoxia_late:12%; PBS_RIF_DDmtb:11%; human_sputum:10%	0.0521	0.999961459791439	1371.58	1413	1397	1352	1382	1315	59.26	57.54
Rv1648	Rv1648	transmembrane protein	PBS_RIF_DDmtb:14%	0.0498	0.999958068880669	1367.27	1333	1441	1348	1389	1327	116.39	113.2
Rv0338c	Rv0338c	iron-sulfur-binding reductase	tyloxopol:10%	0.0484	0.999927320756372	1400.42	1524	1582	1370	1437	1114	414.91	404.35
leuC	Rv2988c	3-isopropylmalate dehydratase large subunit	INDIGO_exponential:12%; zinc_limitation:10%	0.07	0.999980453490682	1450.59	1548	1749	1377	1265	1339	335.69	322.27
vapB46	Rv3385c	antitoxin VapB46	cholesterol:8%	0.0518	0.999981385568865	1341.35	1292	1206	1460	1399	1357	417.62	406.26
Rv1976c	Rv1976c	hypothetical protein	hypoxia_late:13%; ctl_stationary:12%	0.0741	0.99997943311452	1475.52	1685	1789	1336	1250	1355	82.67	79.15
nusG	Rv0639	transcription termination/antitermination protein NusG	zinc_limitation:9%	0.0487	0.999948507275371	1390.46	1412	1545	1412	1424	1173	1455.08	1417.99
cobM	Rv2071c	precorrin-4 C(11)-methyltransferase	hypoxia_late:23%; PBS_RIF_DDmtb:11%	0.0575	0.999990125903504	1326.28	1031	1101	1469	1550	1529	31.82	30.87
MT3033	MT3033	hypothetical protein	hypoxia_late:23%	0.0666	0.99999253647712	1354.53	1236	1202	1334	1379	1643	42.64	41.07
Rv1176c	Rv1176c	hypothetical protein	hypoxia_late:18%	0.0599	0.999988891108786	1360.45	1381	1142	1419	1373	1501	43.93	42.51
Rv0247c	Rv0247c	succinate dehydrogenase iron-sulfur subunit	tyloxopol:13%	0.0593	0.999970662195193	1432.18	1519	1639	1398	1329	1290	389.86	377.17
rraA	Rv3853	RNase E regulator RraA	nutrient_limitation:14%	0.0566	0.9999855028422	1361.97	1201	1375	1449	1367	1425	368.3	356.76
PPE61	Rv3532	PPE family protein PPE61	hypoxia_late:29%	0.0621	0.999989242459213	1371.08	1223	1357	1438	1380	1464	13.6	13.16
Rv2141c	Rv2141c	hypothetical protein	PBS_RIF_DDmtb:12%	0.0511	0.999967450770844	1398.6	1344	1567	1407	1376	1306	60.67	59.02
php	Rv0230c	phosphotriesterase	human_sputum:15%; hypoxia_late:10%	0.0536	0.999972971374839	1402.7	1417	1475	1394	1369	1360	89.76	87.1
MT0328.1	MT0328.1	hypothetical protein	ctl_stationary:9%	0.0469	0.99996696522129	1366.92	1266	1421	1379	1432	1340	388.48	378.81
Rv0036c	Rv0036c	hypothetical protein	hypoxia_late:8%	0.0488	0.999960304099381	1403.4	1449	1508	1415	1407	1245	231.68	225.72
Rv3630	Rv3630	integral membrane protein	hypoxia_late:12%	0.0487	0.999976447227422	1366.6	1354	1296	1450	1415	1321	99.95	97.38
Rv2438A	Rv2438A	hypothetical protein	hypoxia_late:15%; PBS_RIF_DDmtb:14%	0.0669	0.999981947418737	1452.52	1592	1564	1310	1337	1471	79.93	76.82
PE_PGRS28	Rv1452c	PE-PGRS family protein PE_PGRS28	hypoxia_late:46%	0.0562	0.999984924118346	1374.04	1371	1238	1418	1428	1420	27.94	27.04
Rv2456c	Rv2456c	MFS-type transporter	hypoxia_late:10%	0.0486	0.999963575088871	1404.85	1553	1400	1421	1431	1229	199.38	194.29
Rv3829c	Rv3829c	dehydrogenase	butyrate_plus_glucose:20%; hypoxia_late:12%; human_sputum:12%; ctl_stationary:10%	0.0601	0.99998023708259	1433.04	1566	1411	1339	1405	1449	21.74	20.95
vapB6	Rv0657c	antitoxin VapB6	INDIGO_exponential:8%	0.0664	0.999989760185711	1415.94	1512	1321	1388	1359	1505	102.81	99.13
Rv3172c	Rv3172c	hypothetical protein	human_sputum:10%	0.0982	0.999996429033283	1515.55	1613	2061	1401	1041	1552	62.21	58.56
Rv0257	Rv0257	hypothetical protein	acidic_tyloxopol:9%	0.0576	0.999974013998905	1441.05	1516	1619	1375	1361	1344	208.5	201.9
Rv0039c	Rv0039c	transmembrane protein	hypoxia_late:12%	0.0548	0.999979855254718	1405.72	1555	1327	1453	1351	1349	496.56	481.83
thiE	Rv0414c	thiamine-phosphate synthase	hypoxia_late:21%	0.0565	0.999984967162021	1390.65	1283	1344	1364	1482	1486	62.19	60.16
Rv0913c	Rv0913c	dioxygenase	hypoxia_late:10%	0.0552	0.999985950940332	1378.3	1220	1408	1439	1384	1447	77.74	75.32
tsnR	Rv1644	23S rRNA methyltransferase TsnR	high_iron:10%	0.0544	0.999993431417553	1318.5	1096	1062	1546	1422	1508	1055.04	1023.67
mesJ	Rv3625c	tRNA(Ile)-lysidine synthase	hypoxia_late:19%; microaerophilic:14%	0.0478	0.9999759059326	1389.05	1394	1353	1427	1413	1359	92.6	90.27
Rv2136c	Rv2136c	undecaprenyl-diphosphatase	acidic_tyloxopol:11%; butyrate_plus_glucose:11%	0.0625	0.999971867404014	1486.66	1713	1771	1380	1296	1308	256.11	247.16
Rv0789c	Rv0789c	hypothetical protein	hypoxia_fatty_acids:22%	0.0551	0.999980227447496	1419	1351	1551	1389	1401	1407	84.5	81.96
Rv1414	Rv1414	hypothetical protein	hypoxia_late:20%	0.0642	0.99999261109443	1399.73	1423	1251	1386	1363	1586	27.64	26.65
Rv0430	Rv0430	hypothetical protein	ctl_exponential:19%	0.0528	0.99998684190681	1381.94	1370	1237	1486	1400	1423	415.42	403.85
vapB31	Rv0748	antitoxin VapB31	human_sputum:11%	0.0492	0.999964457605517	1438.24	1497	1615	1403	1383	1303	379.18	369.44
PPE19	Rv1361c	PPE family protein PPE19	acidic:23%	0.0485	0.999993104006435	1303.99	1016	926	1622	1466	1575	1257.16	1224.76
MT3297	MT3297	hypothetical protein	hypoxia_late:12%; ctl_stationary:11%; PBS_RIF_DDmtb:11%	0.0609	0.999990609523534	1405.63	1316	1358	1405	1417	1537	101.6	98.22
Rv0063	Rv0063	oxidoreductase	hypoxia_late:21%	0.0475	0.999984355789342	1362.77	1281	1239	1499	1423	1380	120.06	117.05
hsaG	Rv3535c	acetaldehyde dehydrogenase	microaerophilic:44%; hypoxia_fatty_acids:15%	0.0645	0.999983341650678	1474.52	1593	1641	1360	1339	1452	48.38	46.53
metS	Rv1007c	methionine--tRNA ligase	zinc_limitation:8%	0.048	0.999951850616002	1447.64	1626	1610	1406	1408	1209	116.76	113.82
PPE52	Rv3144c	PPE family protein PPE52	hypoxia_late:11%	0.0522	0.999987401668298	1389.05	1390	1235	1495	1421	1411	249.89	242.81
Rv0044c	Rv0044c	oxidoreductase	hypoxia_late:13%	0.0508	0.999977421635237	1423.77	1386	1519	1382	1426	1408	96.02	93.32
aprA	Rv2395A	acid and phagosome regulated protein AprA	acidic:18%; cholesterol:15%; nutrient_limitation:13%	0.0525	0.999994182397736	1329.79	1098	1092	1587	1398	1515	5067.63	4924.19
Rv2734	Rv2734	hypothetical protein	zinc_limitation:37%; hypoxia_late:11%	0.0588	0.999987809213866	1426.39	1373	1466	1425	1409	1460	84.85	82.13
Rv1668c	Rv1668c	macrolide-transport ATP-binding protein ABC transporter	hypoxia_late:19%	0.0541	0.999985353907365	1408.6	1438	1290	1387	1462	1470	45.13	43.72
sigG	Rv0182c	ECF RNA polymerase sigma factor SigG	zinc_limitation:16%	0.0551	0.999970438763101	1473.82	1665	1662	1402	1350	1310	170.23	165.1
Rv2278	Rv2278	transposase	hypoxia_late:34%; ctl_stationary:17%	0.0625	0.999989019065591	1443.44	1501	1380	1296	1491	1557	30.76	29.7
